                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |      90442 |      90328 |      90492 |      90398 |      90082 |      90134 |      90183 |      90606 |      90462 |      90456 |      90456 |      90209 |      90113 |      90199
  Cycles                             |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214 |     739214
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900 |     277900
  Idle time (ns)                     |        -57 |         95 |        -57 |         47 |         47 |         -5 |         33 |        -64 |         14 |        -64 |        -64 |        -13 |         33 |         95
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19637 |      19623 |      19644 |      19627 |      19585 |      19595 |      19605 |      19646 |      19638 |      19628 |      19628 |      19610 |      19591 |      19608
  num incorrect                      |       1074 |       1062 |       1082 |       1072 |       1046 |       1046 |       1046 |       1085 |       1078 |       1072 |       1072 |       1046 |       1046 |       1046
  misprediction rate                 |      5.19% |      5.13% |      5.22% |      5.18% |      5.07% |      5.07% |      5.07% |      5.23% |      5.20% |      5.18% |      5.18% |      5.06% |      5.07% |      5.06%
  mpki                               |      11.88 |      11.76 |      11.96 |      11.86 |      11.61 |      11.60 |      11.60 |      11.97 |      11.92 |      11.85 |      11.85 |      11.60 |      11.61 |      11.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4847 |       4828 |       4854 |       4839 |       4798 |       4798 |       4798 |       4859 |       4851 |       4840 |       4839 |       4798 |       4798 |       4798
    num misses                       |         44 |         43 |         44 |         44 |         42 |         42 |         42 |         45 |         44 |         44 |         44 |         42 |         42 |         42
    miss rate                        |      0.91% |      0.89% |      0.91% |      0.91% |      0.88% |      0.88% |      0.88% |      0.93% |      0.91% |      0.91% |      0.91% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.49 |       0.48 |       0.49 |       0.49 |       0.47 |       0.47 |       0.47 |       0.50 |       0.49 |       0.49 |       0.49 |       0.47 |       0.47 |       0.47
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69704 |      69646 |      69731 |      69678 |      69417 |      69478 |      69536 |      69731 |      69715 |      69661 |      69659 |      69568 |      69454 |      69556
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         65 |         64 |         65 |         65 |         63 |         63 |         63 |         66 |         65 |         65 |         65 |         63 |         63 |         63
    num misses                       |         65 |         64 |         65 |         65 |         63 |         63 |         63 |         66 |         65 |         65 |         65 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.72 |       0.71 |       0.72 |       0.72 |       0.70 |       0.70 |       0.70 |       0.73 |       0.72 |       0.72 |       0.72 |       0.70 |       0.70 |       0.70
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4847 |       4828 |       4854 |       4839 |       4798 |       4798 |       4798 |       4859 |       4851 |       4840 |       4839 |       4798 |       4798 |       4798
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      69704 |      69646 |      69731 |      69678 |      69417 |      69478 |      69536 |      69731 |      69715 |      69661 |      69659 |      69568 |      69454 |      69556
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
