                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   50121633 |   50121536 |   46373022 |   47627800
  Cycles                             |  187685078 |  187685078 |  187685078 |  187685078
  IPC                                |       0.27 |       0.27 |       0.25 |       0.25
  Time (ns)                          |   70558300 |   70558300 |   70558300 |   70558300
  Idle time (ns)                     |        -24 |         11 |        -24 |         11
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022009 |   10022000 |    9272367 |    9523324
  num incorrect                      |       1517 |       1507 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15334 |      15319 |      15165 |      15165
    num misses                       |         52 |         51 |         48 |         48
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   60040200 |   60040205 |   55542564 |   57048309
    num misses                       |        128 |        128 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        180 |        179 |        174 |        174
    num misses                       |        121 |        120 |        116 |        116
    miss rate                        |     67.22% |     67.04% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15334 |      15319 |      15165 |      15165
    num cache misses                 |       1693 |       1660 |       1516 |       1571
    miss rate                        |     11.04% |     10.84% |     10.00% |     10.36%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   60040200 |   60040205 |   55542564 |   57048309
    num cache misses                 |       2700 |       2704 |       2629 |       2643
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.05 |       0.06 |       0.06
  Cache L2                           |            |            |            |           
    num cache accesses               |       4428 |       4399 |       4178 |       4250
    num cache misses                 |       2791 |       2792 |       2708 |       2712
    miss rate                        |     63.03% |     63.47% |     64.82% |     63.81%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |       2829 |       2830 |       2744 |       2748
    num cache misses                 |       2476 |       2465 |       2410 |       2410
    miss rate                        |     87.52% |     87.10% |     87.83% |     87.70%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9761 |          0 |          0 |          0
  average dram access latency (ns)   |      69.67 |        inf |        inf |        inf
  average dram queueing delay        |      16.24 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1126 |       1129 |       1121 |       1123
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
