                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |      35720 |      37952 |      36963 |      28320 |      36010 |      36233 |      35045 |      35494 |      39787 |      36219 |      36187 |      35847 |      36757 |      35999 |      36219
  Cycles                             |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360 |     255360
  IPC                                |       0.14 |       0.15 |       0.14 |       0.11 |       0.14 |       0.14 |       0.14 |       0.14 |       0.16 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000 |      96000
  Idle time (ns)                     |        163 |        190 |        173 |        -42 |        169 |        -39 |        -19 |         10 |        123 |        -19 |         87 |        160 |        185 |        169 |        -57
  Idle time (%)                      |       0.2% |       0.2% |       0.2% |      -0.0% |       0.2% |      -0.0% |      -0.0% |       0.0% |       0.1% |      -0.0% |       0.1% |       0.2% |       0.2% |       0.2% |      -0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8327 |       8506 |       8468 |       6951 |       8388 |       8421 |       8173 |       8269 |       8597 |       8421 |       8418 |       8360 |       8460 |       8387 |       8421
  num incorrect                      |        929 |        972 |        971 |        789 |        941 |        954 |        910 |        926 |       1013 |        954 |        953 |        934 |        966 |        941 |        954
  misprediction rate                 |     10.04% |     10.26% |     10.29% |     10.19% |     10.09% |     10.18% |     10.02% |     10.07% |     10.54% |     10.18% |     10.17% |     10.05% |     10.25% |     10.09% |     10.18%
  mpki                               |      26.01 |      25.61 |      26.27 |      27.86 |      26.13 |      26.33 |      25.97 |      26.09 |      25.46 |      26.34 |      26.34 |      26.06 |      26.28 |      26.14 |      26.34
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4366 |       4600 |       4522 |       3395 |       4410 |       4434 |       4260 |       4330 |       4784 |       4434 |       4430 |       4390 |       4502 |       4409 |       4434
    num misses                       |         38 |         39 |         39 |         33 |         38 |         38 |         38 |         38 |         43 |         38 |         38 |         38 |         39 |         38 |         38
    miss rate                        |      0.87% |      0.85% |      0.86% |      0.97% |      0.86% |      0.86% |      0.89% |      0.88% |      0.90% |      0.86% |      0.86% |      0.87% |      0.87% |      0.86% |      0.86%
    mpki                             |       1.06 |       1.03 |       1.06 |       1.17 |       1.06 |       1.05 |       1.08 |       1.07 |       1.08 |       1.05 |       1.05 |       1.06 |       1.06 |       1.06 |       1.05
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       8643 |       9601 |       9136 |       6521 |       8679 |       8699 |       8559 |       8622 |      10463 |       8691 |       8680 |       8656 |       9018 |       8675 |       8691
    num misses                       |         22 |         22 |         22 |         20 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.25% |      0.23% |      0.24% |      0.31% |      0.25% |      0.25% |      0.26% |      0.26% |      0.21% |      0.25% |      0.25% |      0.25% |      0.24% |      0.25% |      0.25%
    mpki                             |       0.62 |       0.58 |       0.60 |       0.71 |       0.61 |       0.61 |       0.63 |       0.62 |       0.55 |       0.61 |       0.61 |       0.61 |       0.60 |       0.61 |       0.61
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         60 |         61 |         61 |         53 |         60 |         60 |         60 |         60 |         65 |         60 |         60 |         60 |         61 |         60 |         60
    num misses                       |         60 |         61 |         61 |         53 |         60 |         60 |         60 |         60 |         65 |         60 |         60 |         60 |         61 |         60 |         60
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.68 |       1.61 |       1.65 |       1.87 |       1.67 |       1.66 |       1.71 |       1.69 |       1.63 |       1.66 |       1.66 |       1.67 |       1.66 |       1.67 |       1.66
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4366 |       4600 |       4522 |       3395 |       4410 |       4434 |       4260 |       4330 |       4784 |       4434 |       4430 |       4390 |       4502 |       4409 |       4434
    num cache misses                 |       2805 |       2860 |       2791 |       2050 |       2798 |       2607 |       2666 |       2777 |       2416 |       2969 |       2712 |       2682 |       2785 |       2584 |       2865
    miss rate                        |     64.25% |     62.17% |     61.72% |     60.38% |     63.45% |     58.80% |     62.58% |     64.13% |     50.50% |     66.96% |     61.22% |     61.09% |     61.86% |     58.61% |     64.61%
    mpki                             |      78.53 |      75.36 |      75.51 |      72.39 |      77.70 |      71.95 |      76.07 |      78.24 |      60.72 |      81.97 |      74.94 |      74.82 |      75.77 |      71.78 |      79.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8643 |       9601 |       9136 |       6521 |       8679 |       8699 |       8559 |       8622 |      10463 |       8691 |       8680 |       8656 |       9018 |       8675 |       8691
    num cache misses                 |       2261 |       2436 |       2313 |       1735 |       2261 |       2164 |       2232 |       2241 |       2022 |       2401 |       2254 |       2185 |       2362 |       2166 |       2355
    miss rate                        |     26.16% |     25.37% |     25.32% |     26.61% |     26.05% |     24.88% |     26.08% |     25.99% |     19.33% |     27.63% |     25.97% |     25.24% |     26.19% |     24.97% |     27.10%
    mpki                             |      63.30 |      64.19 |      62.58 |      61.26 |      62.79 |      59.72 |      63.69 |      63.14 |      50.82 |      66.29 |      62.29 |      60.95 |      64.26 |      60.17 |      65.02
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5076 |       5306 |       5115 |       3794 |       5069 |       4780 |       4907 |       5027 |       4456 |       5379 |       4976 |       4877 |       5157 |       4759 |       5229
    num cache misses                 |       3530 |       3699 |       3585 |       2758 |       3612 |       3479 |       3568 |       3678 |       3234 |       3896 |       3534 |       3543 |       3581 |       3416 |       3631
    miss rate                        |     69.54% |     69.71% |     70.09% |     72.69% |     71.26% |     72.78% |     72.71% |     73.16% |     72.58% |     72.43% |     71.02% |     72.65% |     69.44% |     71.78% |     69.44%
    mpki                             |      98.82 |      97.47 |      96.99 |      97.39 |     100.31 |      96.02 |     101.81 |     103.62 |      81.28 |     107.57 |      97.66 |      98.84 |      97.42 |      94.89 |     100.25
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3541 |       3710 |       3597 |       2768 |       3622 |       3488 |       3577 |       3687 |       3252 |       3906 |       3544 |       3553 |       3591 |       3426 |       3641
    num cache misses                 |        697 |        727 |        727 |        577 |        695 |        707 |        701 |        701 |        784 |        707 |        706 |        696 |        724 |        698 |        710
    miss rate                        |     19.68% |     19.60% |     20.21% |     20.85% |     19.19% |     20.27% |     19.60% |     19.01% |     24.11% |     18.10% |     19.92% |     19.59% |     20.16% |     20.37% |     19.50%
    mpki                             |      19.51 |      19.16 |      19.67 |      20.37 |      19.30 |      19.51 |      20.00 |      19.75 |      19.70 |      19.52 |      19.51 |      19.42 |      19.70 |      19.39 |      19.60
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      10601 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     675.65 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     622.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     93.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        165 |        171 |        167 |        145 |        166 |        166 |        170 |        172 |        183 |        168 |        165 |        166 |        173 |        167 |        171
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
