                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      90571 |      90609 |      90365 |      90408
  Cycles                             |     402192 |     402192 |     402192 |     402192
  IPC                                |       0.23 |       0.23 |       0.22 |       0.22
  Time (ns)                          |     151200 |     151200 |     151200 |     151200
  Idle time (ns)                     |       -695 |       -695 |        -29 |        -87
  Idle time (%)                      |      -0.5% |      -0.5% |      -0.0% |      -0.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      19646 |      19646 |      19626 |      19630
  num incorrect                      |       1085 |       1085 |       1069 |       1072
  misprediction rate                 |      5.23% |      5.23% |      5.17% |      5.18%
  mpki                               |      11.98 |      11.97 |      11.83 |      11.86
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |       4859 |       4859 |       4833 |       4842
    num misses                       |         45 |         45 |         43 |         44
    miss rate                        |      0.93% |      0.93% |      0.89% |      0.91%
    mpki                             |       0.50 |       0.50 |       0.48 |       0.49
  D-TLB                              |            |            |            |           
    num accesses                     |      69715 |      69732 |      69663 |      69686
    num misses                       |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |         66 |         66 |         64 |         65
    num misses                       |         66 |         66 |         64 |         65
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.73 |       0.71 |       0.72
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |       4859 |       4859 |       4833 |       4842
    num cache misses                 |        694 |        638 |        662 |        696
    miss rate                        |     14.28% |     13.13% |     13.70% |     14.37%
    mpki                             |       7.66 |       7.04 |       7.33 |       7.70
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      69715 |      69732 |      69663 |      69686
    num cache misses                 |        496 |        491 |        492 |        482
    miss rate                        |      0.71% |      0.70% |      0.71% |      0.69%
    mpki                             |       5.48 |       5.42 |       5.44 |       5.33
  Cache L2                           |            |            |            |           
    num cache accesses               |       1211 |       1151 |       1173 |       1198
    num cache misses                 |        829 |        826 |        812 |        810
    miss rate                        |     68.46% |     71.76% |     69.22% |     67.61%
    mpki                             |       9.15 |       9.12 |       8.99 |       8.96
  Cache L3                           |            |            |            |           
    num cache accesses               |        851 |        851 |        833 |        832
    num cache misses                 |        761 |        762 |        734 |        744
    miss rate                        |     89.42% |     89.54% |     88.12% |     89.42%
    mpki                             |       8.40 |       8.41 |       8.12 |       8.23
DRAM summary                         |            |            |            |           
  num dram accesses                  |       3001 |          0 |          0 |          0
  average dram access latency (ns)   |      86.55 |        inf |        inf |        inf
  average dram queueing delay        |      33.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     16.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        170 |        168 |        161 |        162
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
