                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     13.78% |     13.71% |     13.44% |     11.71% |     12.01% |     13.67% |     11.31% |     12.86% |     12.03% |     13.11% |     13.40% |     13.64% |     13.74% |     13.78% |     13.82% |     13.10%
    mpki                             |      49.86 |      49.59 |      48.64 |      42.50 |      43.56 |      49.48 |      41.03 |      46.59 |      43.63 |      47.48 |      48.52 |      49.35 |      49.71 |      49.86 |      50.01 |      47.44
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   13257463 |   13179680 |   13071846 |   12689832 |   12787591 |   13183342 |   12436200 |   12950481 |   12814289 |   13030977 |   13086650 |   13118313 |   13233739 |   13244527 |   13264122 |   13030054
    num cache misses                 |    7251834 |    7205812 |    7119205 |    6294335 |    6456532 |    7227776 |    6030240 |    6864342 |    6436297 |    6986904 |    7101355 |    7201683 |    7260370 |    7271486 |    7262609 |    6965632
    miss rate                        |     54.70% |     54.67% |     54.46% |     49.60% |     50.49% |     54.83% |     48.49% |     53.00% |     50.23% |     53.62% |     54.26% |     54.90% |     54.86% |     54.90% |     54.75% |     53.46%
    mpki                             |      74.76 |      74.35 |      72.77 |      59.65 |      61.93 |      73.97 |      55.82 |      68.51 |      62.14 |      70.36 |      72.17 |      73.69 |      74.52 |      74.77 |      74.77 |      70.22
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7259056 |    7212938 |    7126667 |    6301442 |    6463504 |    7235387 |    6036274 |    6871763 |    6443509 |    6994396 |    7108813 |    7209213 |    7268006 |    7279120 |    7269989 |    6973096
    num cache misses                 |      47296 |      46767 |      48548 |      44213 |      44973 |      48784 |      40512 |      47175 |      45366 |      47486 |      48206 |      48675 |      48728 |      48562 |      48056 |      47451
    miss rate                        |      0.65% |      0.65% |      0.68% |      0.70% |      0.70% |      0.67% |      0.67% |      0.69% |      0.70% |      0.68% |      0.68% |      0.68% |      0.67% |      0.67% |      0.66% |      0.68%
    mpki                             |       0.49 |       0.48 |       0.50 |       0.42 |       0.43 |       0.50 |       0.37 |       0.47 |       0.44 |       0.48 |       0.49 |       0.50 |       0.50 |       0.50 |       0.49 |       0.48
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1182238 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      59.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       6.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      28557 |      28375 |      29372 |      25404 |      25878 |      29714 |      22636 |      27846 |      26317 |      28328 |      29050 |      29595 |      29802 |      29764 |      29262 |      28244
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
