                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  108033151 |  107061958 |  107627483 |  106743527
  Cycles                             |  142009154 |  142009154 |  142009154 |  142009154
  IPC                                |       0.76 |       0.75 |       0.76 |       0.75
  Time (ns)                          |   53386900 |   53386900 |   53386900 |   53386900
  Idle time (ns)                     |       -114 |        -86 |       -114 |        -86
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   17101784 |   16944680 |   17031290 |   16898814
  num incorrect                      |     281892 |     278889 |     280052 |     278338
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.61 |       2.60 |       2.60 |       2.61
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   16653068 |   16507604 |   16602355 |   16456217
    num misses                       |        152 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   39205539 |   38862079 |   39069930 |   38746690
    num misses                       |       1051 |       1033 |       1033 |       1031
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |       1203 |       1171 |       1171 |       1169
    num misses                       |        363 |        354 |        354 |        354
    miss rate                        |     30.17% |     30.23% |     30.23% |     30.28%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   16653068 |   16507604 |   16602355 |   16456217
    num cache misses                 |    1160692 |    1270221 |    1229957 |    1244843
    miss rate                        |      6.97% |      7.69% |      7.41% |      7.56%
    mpki                             |      10.74 |      11.86 |      11.43 |      11.66
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   39205539 |   38862079 |   39069930 |   38746690
    num cache misses                 |     573732 |     596055 |     584579 |     593515
    miss rate                        |      1.46% |      1.53% |      1.50% |      1.53%
    mpki                             |       5.31 |       5.57 |       5.43 |       5.56
  Cache L2                           |            |            |            |           
    num cache accesses               |    1734987 |    1866829 |    1815089 |    1838913
    num cache misses                 |     250090 |     260770 |     256467 |     258287
    miss rate                        |     14.41% |     13.97% |     14.13% |     14.05%
    mpki                             |       2.31 |       2.44 |       2.38 |       2.42
  Cache L3                           |            |            |            |           
    num cache accesses               |     250660 |     261331 |     257029 |     258850
    num cache misses                 |      10579 |      10461 |      10461 |      10461
    miss rate                        |      4.22% |      4.00% |      4.07% |      4.04%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |      41962 |          0 |          0 |          0
  average dram access latency (ns)   |      62.50 |        inf |        inf |        inf
  average dram queueing delay        |       9.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       5029 |       5206 |       5190 |       5255
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
