                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    miss rate                        |      55.19% |      55.19% |      55.19% |      55.17% |      55.18% |      55.19% |      55.18% |      55.19% |      55.19% |      55.19% |      55.19% |      55.19% |      55.19% |      55.21% |      55.11% |      55.19%
    mpki                             |      472.58 |      472.53 |      472.58 |      472.40 |      472.49 |      472.56 |      472.49 |      472.59 |      472.57 |      472.55 |      472.59 |      472.57 |      472.59 |      472.69 |      471.84 |      472.57
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    33079429 |    33083735 |    33079769 |    33078648 |    33081249 |    33074322 |    33078366 |    33082749 |    33080900 |    33079780 |    33081307 |    33082021 |    33079310 |    32751313 |    33092555 |    33058059
    num cache misses                 |    33077098 |    33081177 |    33077218 |    33076534 |    33079008 |    33071699 |    33075860 |    33080579 |    33078203 |    33077334 |    33078711 |    33079578 |    33076695 |    32748783 |    33090203 |    33055163
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      472.63 |      472.59 |      472.64 |      472.44 |      472.54 |      472.62 |      472.55 |      472.65 |      472.63 |      472.61 |      472.65 |      472.63 |      472.64 |      472.74 |      471.90 |      472.63
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    33077134 |    33081217 |    33077256 |    33076570 |    33079048 |    33071736 |    33075897 |    33080619 |    33078243 |    33077374 |    33078751 |    33079620 |    33076738 |    32748819 |    33090243 |    33055202
    num cache misses                 |        2566 |        2595 |        2598 |        2560 |        2575 |        2583 |        2590 |        2588 |        2592 |        2594 |        2608 |        2598 |        2603 |        2602 |        2649 |        2603
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       42779 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      104.72 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       51.29 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        1223 |        1243 |        1250 |        1216 |        1231 |        1246 |        1249 |        1243 |        1242 |        1249 |        1256 |        1244 |        1252 |        1248 |        1239 |        1241
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
