                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    6728533 |    6724699 |    6726623 |    6727721 |    6725677 |    6728359 |    6728453 |    6723138 |    6727181 |    6728805 |    6727619 |    6728532
  Cycles                             |   33538876 |   33538876 |   33538876 |   33538876 |   33538876 |   33538876 |   33538876 |   33538876 |   33538876 |   33538876 |   33538876 |   33538876
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   12608600 |   12608600 |   12608600 |   12608600 |   12608600 |   12608600 |   12608600 |   12608600 |   12608600 |   12608600 |   12608600 |   12608600
  Idle time (ns)                     |         42 |          3 |         -7 |         89 |         32 |        140 |        101 |         14 |        154 |         -7 |         25 |         89
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259654 |     259545 |     259583 |     259604 |     259564 |     259635 |     259641 |     259514 |     259593 |     259678 |     259602 |     259654
  num incorrect                      |       3935 |       3911 |       3911 |       3911 |       3911 |       3925 |       3935 |       3911 |       3911 |       3961 |       3911 |       3935
  misprediction rate                 |      1.49% |      1.48% |      1.48% |      1.48% |      1.48% |      1.49% |      1.49% |      1.48% |      1.48% |      1.50% |      1.48% |      1.49%
  mpki                               |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.59 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680602 |     680266 |     680415 |     680500 |     680342 |     680571 |     680589 |     680145 |     680458 |     680639 |     680492 |     680602
    num misses                       |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         62 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
