                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   40108496 |   40121388 |   40121682 |   40108360 |   40104785 |   40100717 |   40107944 |   40100412
  Cycles                             |  107311316 |  107311316 |  107311316 |  107311316 |  107311316 |  107311316 |  107311316 |  107311316
  IPC                                |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37
  Time (ns)                          |   40342600 |   40342600 |   40342600 |   40342600 |   40342600 |   40342600 |   40342600 |   40342600
  Idle time (ns)                     |        -22 |         13 |        -73 |        -32 |        -73 |        -49 |        -32 |        -22
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10018868 |   10021982 |   10022008 |   10018831 |   10017938 |   10016921 |   10018728 |   10016845
  num incorrect                      |       1441 |       1493 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15287 |      15334 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         48 |         50 |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.33% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      39839 |      40138 |      40232 |      39839 |      39839 |      39839 |      39839 |      39839
    num misses                       |         75 |         76 |         76 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        126 |        128 |        123 |        123 |        123 |        123 |        123
    num misses                       |        116 |        119 |        121 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     94.31% |     94.44% |     94.53% |     94.31% |     94.31% |     94.31% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15165 |      15287 |      15334 |      15165 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       5609 |       5237 |       4843 |       5421 |       5477 |       4974 |       5595 |       5115
    miss rate                        |     36.99% |     34.26% |     31.58% |     35.75% |     36.12% |     32.80% |     36.89% |     33.73%
    mpki                             |       0.14 |       0.13 |       0.12 |       0.14 |       0.14 |       0.12 |       0.14 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      39839 |      40138 |      40232 |      39839 |      39839 |      39839 |      39839 |      39839
    num cache misses                 |       5265 |       5027 |       4869 |       5203 |       5106 |       4938 |       5235 |       4994
    miss rate                        |     13.22% |     12.52% |     12.10% |     13.06% |     12.82% |     12.39% |     13.14% |     12.54%
    mpki                             |       0.13 |       0.13 |       0.12 |       0.13 |       0.13 |       0.12 |       0.13 |       0.12
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10905 |      10296 |       9745 |      10655 |      10615 |       9945 |      10861 |      10141
    num cache misses                 |       4067 |       4048 |       3984 |       4037 |       4016 |       3972 |       4059 |       3983
    miss rate                        |     37.29% |     39.32% |     40.88% |     37.89% |     37.83% |     39.94% |     37.37% |     39.28%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4102 |       4084 |       4022 |       4072 |       4051 |       4009 |       4094 |       4018
    num cache misses                 |       2414 |       2450 |       2481 |       2415 |       2414 |       2414 |       2415 |       2414
    miss rate                        |     58.85% |     59.99% |     61.69% |     59.31% |     59.59% |     60.21% |     58.99% |     60.08%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19435 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      82.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      28.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1140 |       1136 |       1145 |       1137 |       1134 |       1138 |       1142 |       1138
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
