                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   60113019 |   60121685 |   60110496 |   60121017 |   60107266 |   60099826 |   60114859 |   60105199 |   60099745
  Cycles                             |  180911122 |  180911122 |  180911122 |  180911122 |  180911122 |  180911122 |  180911122 |  180911122 |  180911122
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   68011700 |   68011700 |   68011700 |   68011700 |   68011700 |   68011700 |   68011700 |   68011700 |   68011700
  Idle time (ns)                     |        -13 |        -71 |         14 |         39 |         22 |        -29 |        -71 |        -32 |        -13
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10020637 |   10022010 |   10020215 |   10021937 |   10019677 |   10018437 |   10020943 |   10019333 |   10018425
  num incorrect                      |       1440 |       1516 |       1440 |       1466 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15333 |      15164 |      15214 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         52 |         48 |         49 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      39845 |      40238 |      39845 |      39972 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |        158 |        159 |        158 |        158 |        158 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        206 |        211 |        206 |        207 |        206 |        206 |        206 |        206 |        206
    num misses                       |        122 |        127 |        122 |        123 |        122 |        122 |        122 |        122 |        122
    miss rate                        |     59.22% |     60.19% |     59.22% |     59.42% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15333 |      15164 |      15214 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5582 |       5640 |       6045 |       5342 |       6010 |       5123 |       5999 |       5838 |       5263
    miss rate                        |     36.81% |     36.78% |     39.86% |     35.11% |     39.63% |     33.78% |     39.56% |     38.50% |     34.71%
    mpki                             |       0.09 |       0.09 |       0.10 |       0.09 |       0.10 |       0.09 |       0.10 |       0.10 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39845 |      40238 |      39845 |      39972 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       5849 |       5822 |       5970 |       5695 |       6023 |       5563 |       5998 |       5856 |       5646
    miss rate                        |     14.68% |     14.47% |     14.98% |     14.25% |     15.12% |     13.96% |     15.05% |     14.70% |     14.17%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.09 |       0.10 |       0.09 |       0.10 |       0.10 |       0.09
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11464 |      11495 |      12046 |      11071 |      12067 |      10719 |      12027 |      11727 |      10941
    num cache misses                 |       6814 |       6521 |       6526 |       6235 |       6759 |       6654 |       6403 |       6839 |       6999
    miss rate                        |     59.44% |     56.73% |     54.18% |     56.32% |     56.01% |     62.08% |     53.24% |     58.32% |     63.97%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.12
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6848 |       6554 |       6558 |       6270 |       6793 |       6687 |       6435 |       6875 |       7033
    num cache misses                 |       2492 |       2540 |       2487 |       2505 |       2502 |       2503 |       2479 |       2499 |       2511
    miss rate                        |     36.39% |     38.75% |     37.92% |     39.95% |     36.83% |     37.43% |     38.52% |     36.35% |     35.70%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      22612 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      78.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1215 |       1217 |       1209 |       1196 |       1219 |       1223 |       1208 |       1223 |       1232
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
