                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
    num cache accesses               |     891869 |     890800 |     893186 |     892238 |     863470 |     892980 |     892438 |     891719 |     881090 |     890104 |     893007 |     895061 |     888335
    num cache misses                 |       4505 |       4504 |       4507 |       4504 |       4575 |       4502 |       4506 |       4506 |       4508 |       4506 |       4509 |       4498 |       4507
    miss rate                        |      0.51% |      0.51% |      0.50% |      0.50% |      0.53% |      0.50% |      0.50% |      0.51% |      0.51% |      0.51% |      0.50% |      0.50% |      0.51%
    mpki                             |       0.69 |       0.69 |       0.69 |       0.69 |       0.68 |       0.69 |       0.69 |       0.69 |       0.68 |       0.69 |       0.69 |       0.69 |       0.69
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      60065 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      71.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      18.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2636 |       2622 |       2634 |       2639 |       2652 |       2618 |       2618 |       2624 |       2619 |       2605 |       2609 |       2601 |       2611
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
