                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |      90555 |      87022 |      82225 |      85072 |      82545
  Cycles                             |     375060 |     375060 |     375060 |     375060 |     375060
  IPC                                |       0.24 |       0.23 |       0.22 |       0.23 |       0.22
  Time (ns)                          |     141000 |     141000 |     141000 |     141000 |     141000
  Idle time (ns)                     |        -75 |        -75 |        -20 |        -52 |        -15
  Idle time (%)                      |      -0.1% |      -0.1% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |      19646 |      18973 |      18014 |      18583 |      18079
  num incorrect                      |       1085 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.23% |      5.49% |      5.33% |      5.47%
  mpki                               |      11.98 |      12.02 |      12.72 |      12.30 |      12.67
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |       4859 |       4798 |       4798 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.48 |       0.51 |       0.49 |       0.51
  D-TLB                              |            |            |            |            |           
    num accesses                     |      69706 |      65711 |      59985 |      63395 |      60379
    num misses                       |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.24 |       0.26 |       0.25 |       0.25
  L2 TLB                             |            |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.72 |       0.77 |       0.74 |       0.76
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |       4859 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |        995 |       1037 |       1034 |       1074 |       1058
    miss rate                        |     20.48% |     21.61% |     21.55% |     22.38% |     22.05%
    mpki                             |      10.99 |      11.92 |      12.58 |      12.62 |      12.82
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      69706 |      65711 |      59985 |      63395 |      60379
    num cache misses                 |        794 |        833 |        829 |        804 |        834
    miss rate                        |      1.14% |      1.27% |      1.38% |      1.27% |      1.38%
    mpki                             |       8.77 |       9.57 |      10.08 |       9.45 |      10.10
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       1809 |       1887 |       1881 |       1896 |       1910
    num cache misses                 |        897 |        855 |        848 |        837 |        851
    miss rate                        |     49.59% |     45.31% |     45.08% |     44.15% |     44.55%
    mpki                             |       9.91 |       9.83 |      10.31 |       9.84 |      10.31
  Cache L3                           |            |            |            |            |           
    num cache accesses               |        920 |        875 |        868 |        857 |        871
    num cache misses                 |        761 |        712 |        712 |        712 |        712
    miss rate                        |     82.72% |     81.37% |     82.03% |     83.08% |     81.75%
    mpki                             |       8.40 |       8.18 |       8.66 |       8.37 |       8.63
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |       3609 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      93.40 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      39.97 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     21.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |        175 |        162 |        160 |        162 |        160
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
