                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9892489 |    9889855 |    9889784 |    9890217 |    9891551 |    9890920 |    9892168 |    9888898 |    9892903 |    9891027 |    9888249 |    9890637 |    9892509 |    9893077 |    9890789
  Cycles                             |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736 |   60194736
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600 |   22629600
  Idle time (ns)                     |         -6 |        209 |        112 |         67 |         41 |        -10 |        209 |        232 |        185 |         -6 |         67 |        112 |        185 |        -19 |        209
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287321 |     287248 |     287247 |     287258 |     287296 |     287279 |     287313 |     287223 |     287342 |     287282 |     287205 |     287271 |     287322 |     287362 |     287275
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        999 |        974 |        974 |        974 |        974 |       1015 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
