                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    9692107 |    9785929 |    9720250 |    9732020 |    9893117 |    9892996 |    9757438 |    9760951 |    9766898 |    9764334 |    9809074 |    9822950 |    9857620 |    9849239 |    9879585 |    9830894
  Cycles                             |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678 |  114295678
  IPC                                |       0.08 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300 |   42968300
  Idle time (ns)                     |        255 |        250 |        141 |        115 |         -3 |       1590 |        294 |        271 |        205 |        205 |        164 |         -3 |         -3 |        115 |        189 |        141
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     281768 |     284370 |     282548 |     282874 |     287362 |     287354 |     283580 |     283677 |     283842 |     283772 |     285010 |     285395 |     286356 |     286123 |     286964 |     285616
  num incorrect                      |        974 |        974 |        974 |        974 |       1015 |       1006 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1064270 |    1074514 |    1067343 |    1068628 |    1086228 |    1086219 |    1071403 |    1071786 |    1072435 |    1072157 |    1077038 |    1078554 |    1082339 |    1081423 |    1084735 |    1079422
    num misses                       |         40 |         40 |         40 |         40 |         43 |         42 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
