                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |     121632 |     121415 |     120626 |     121029 |     120456 |     121001
  Cycles                             |     611002 |     611002 |     611002 |     611002 |     611002 |     611002
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |     229700 |     229700 |     229700 |     229700 |     229700 |     229700
  Idle time (ns)                     |       -718 |       -718 |        -10 |       -718 |        200 |        -20
  Idle time (%)                      |      -0.3% |      -0.3% |      -0.0% |      -0.3% |       0.1% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      22012 |      21989 |      21911 |      21941 |      21904 |      21939
  num incorrect                      |       1514 |       1493 |       1436 |       1465 |       1428 |       1464
  misprediction rate                 |      6.44% |      6.36% |      6.15% |      6.26% |      6.12% |      6.26%
  mpki                               |      12.45 |      12.30 |      11.90 |      12.10 |      11.85 |      12.10
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15330 |      15288 |      15152 |      15217 |      15127 |      15210
    num misses                       |         52 |         51 |         47 |         49 |         45 |         49
    miss rate                        |      0.34% |      0.33% |      0.31% |      0.32% |      0.30% |      0.32%
    mpki                             |       0.43 |       0.42 |       0.39 |       0.40 |       0.37 |       0.40
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40203 |      40107 |      39784 |      39965 |      39720 |      39961
    num misses                       |         77 |         77 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        129 |        128 |        123 |        125 |        121 |        125
    num misses                       |        123 |        122 |        117 |        119 |        115 |        119
    miss rate                        |     95.35% |     95.31% |     95.12% |     95.20% |     95.04% |     95.20%
    mpki                             |       1.01 |       1.00 |       0.97 |       0.98 |       0.95 |       0.98
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15330 |      15288 |      15152 |      15217 |      15127 |      15210
    num cache misses                 |       4610 |       4673 |       4359 |       4604 |       4321 |       4607
    miss rate                        |     30.07% |     30.57% |     28.77% |     30.26% |     28.56% |     30.29%
    mpki                             |      37.90 |      38.49 |      36.14 |      38.04 |      35.87 |      38.07
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40203 |      40107 |      39784 |      39965 |      39720 |      39961
    num cache misses                 |       4105 |       4099 |       4004 |       4167 |       3919 |       4139
    miss rate                        |     10.21% |     10.22% |     10.06% |     10.43% |      9.87% |     10.36%
    mpki                             |      33.75 |      33.76 |      33.19 |      34.43 |      32.53 |      34.21
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8749 |       8806 |       8397 |       8807 |       8272 |       8780
    num cache misses                 |       3646 |       3636 |       3547 |       3617 |       3525 |       3626
    miss rate                        |     41.67% |     41.29% |     42.24% |     41.07% |     42.61% |     41.30%
    mpki                             |      29.98 |      29.95 |      29.40 |      29.89 |      29.26 |      29.97
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3681 |       3670 |       3582 |       3655 |       3558 |       3661
    num cache misses                 |       2475 |       2446 |       2403 |       2427 |       2384 |       2427
    miss rate                        |     67.24% |     66.65% |     67.09% |     66.40% |     67.00% |     66.29%
    mpki                             |      20.35 |      20.15 |      19.92 |      20.05 |      19.79 |      20.06
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14562 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      76.65 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      23.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     53.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1141 |       1136 |       1138 |       1143 |       1133 |       1139
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
