                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   40121674 |   40114849 |   40104533 |   40121027 |   40120900
  Cycles                             |   67211816 |   67211816 |   67211816 |   67211816 |   67211816
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   25267600 |   25267600 |   25267600 |   25267600 |   25267600
  Idle time (ns)                     |        -67 |        -67 |        -56 |         48 |        -20
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022006 |   10020444 |   10017867 |   10021932 |   10021922
  num incorrect                      |       1519 |       1442 |       1442 |       1464 |       1453
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |   20015334 |   20012236 |   20007080 |   20015208 |   20015186
    num misses                       |         52 |         48 |         48 |         49 |         49
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40210 |      39847 |      39847 |      39967 |      39913
    num misses                       |         74 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        122 |        122
    num misses                       |        122 |        117 |        117 |        118 |        118
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.72% |     96.72%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |   20015334 |   20012236 |   20007080 |   20015208 |   20015186
    num cache misses                 |     653635 |     653570 |     653484 |     653537 |     653388
    miss rate                        |      3.27% |      3.27% |      3.27% |      3.27% |      3.26%
    mpki                             |      16.29 |      16.29 |      16.29 |      16.29 |      16.29
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40210 |      39847 |      39847 |      39967 |      39913
    num cache misses                 |       3341 |       3280 |       3174 |       3308 |       3268
    miss rate                        |      8.31% |      8.23% |      7.97% |      8.28% |      8.19%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     657011 |     656884 |     656690 |     656881 |     656690
    num cache misses                 |       3089 |       3021 |       3008 |       3047 |       3023
    miss rate                        |      0.47% |      0.46% |      0.46% |      0.46% |      0.46%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3128 |       3059 |       3045 |       3086 |       3061
    num cache misses                 |       2481 |       2414 |       2414 |       2433 |       2428
    miss rate                        |     79.32% |     78.91% |     79.28% |     78.84% |     79.32%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12170 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.43 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      20.01 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1142 |       1129 |       1129 |       1135 |       1131
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
