                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |      39787 |      36314 |      39543 |      36146 |      35224
  Cycles                             |     139650 |     139650 |     139650 |     139650 |     139650
  IPC                                |       0.28 |       0.26 |       0.28 |       0.26 |       0.25
  Time (ns)                          |      52500 |      52500 |      52500 |      52500 |      52500
  Idle time (ns)                     |         19 |         -3 |         -0 |        -44 |         85
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.1% |       0.2%
Branch predictor stats               |            |            |            |            |           
  num correct                        |       8597 |       8424 |       8570 |       8411 |       8223
  num incorrect                      |       1013 |        957 |        985 |        949 |        913
  misprediction rate                 |     10.54% |     10.20% |     10.31% |     10.14% |      9.99%
  mpki                               |      25.46 |      26.35 |      24.91 |      26.25 |      25.92
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |       4784 |       4447 |       4733 |       4424 |       4293
    num misses                       |         43 |         39 |         40 |         38 |         38
    miss rate                        |      0.90% |      0.88% |      0.85% |      0.86% |      0.89%
    mpki                             |       1.08 |       1.07 |       1.01 |       1.05 |       1.08
  D-TLB                              |            |            |            |            |           
    num accesses                     |      10463 |       8738 |      10347 |       8679 |       8574
    num misses                       |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.21% |      0.25% |      0.21% |      0.25% |      0.26%
    mpki                             |       0.55 |       0.61 |       0.56 |       0.61 |       0.62
  L2 TLB                             |            |            |            |            |           
    num accesses                     |         65 |         61 |         62 |         60 |         60
    num misses                       |         65 |         61 |         62 |         60 |         60
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.63 |       1.68 |       1.57 |       1.66 |       1.70
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |       4784 |       4447 |       4733 |       4424 |       4293
    num cache misses                 |       1238 |       1249 |       1230 |       1241 |       1208
    miss rate                        |     25.88% |     28.09% |     25.99% |     28.05% |     28.14%
    mpki                             |      31.12 |      34.39 |      31.11 |      34.33 |      34.29
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      10463 |       8738 |      10347 |       8679 |       8574
    num cache misses                 |       1110 |       1138 |       1175 |       1166 |       1143
    miss rate                        |     10.61% |     13.02% |     11.36% |     13.43% |     13.33%
    mpki                             |      27.90 |      31.34 |      29.71 |      32.26 |      32.45
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       2369 |       2402 |       2420 |       2421 |       2365
    num cache misses                 |        848 |        800 |        807 |        780 |        782
    miss rate                        |     35.80% |     33.31% |     33.35% |     32.22% |     33.07%
    mpki                             |      21.31 |      22.03 |      20.41 |      21.58 |      22.20
  Cache L3                           |            |            |            |            |           
    num cache accesses               |        873 |        819 |        825 |        796 |        798
    num cache misses                 |        777 |        715 |        740 |        699 |        692
    miss rate                        |     89.00% |     87.30% |     89.70% |     87.81% |     86.72%
    mpki                             |      19.53 |      19.69 |      18.71 |      19.34 |      19.65
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |       3623 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     160.78 |        inf |        inf |        inf |        inf
  average dram queueing delay        |     107.35 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     58.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |        170 |        159 |        161 |        156 |        157
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
