                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   78254857 |   78256669 |   77728007 |   77771600 |   77837218 |   78179671 |   78124650
  Cycles                             |  221926726 |  221926726 |  221926726 |  221926726 |  221926726 |  221926726 |  221926726
  IPC                                |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35
  Time (ns)                          |   83431100 |   83431100 |   83431100 |   83431100 |   83431100 |   83431100 |   83431100
  Idle time (ns)                     |          8 |        -32 |          9 |        -32 |         75 |          9 |          8
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    2171833 |    2171907 |    2157414 |    2158606 |    2160403 |    2169775 |    2168270
  num incorrect                      |        981 |       1022 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    8524794 |    8525013 |    8467563 |    8472296 |    8479427 |    8516627 |    8510651
    num misses                       |         40 |         43 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   36054805 |   36055601 |   35812574 |   35832606 |   35862787 |   36020241 |   35994944
    num misses                       |         69 |         71 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        109 |        114 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        112 |        109 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    8524794 |    8525013 |    8467563 |    8472296 |    8479427 |    8516627 |    8510651
    num cache misses                 |    2796655 |    2800579 |    2773727 |    2765148 |    2758882 |    2763287 |    2756820
    miss rate                        |     32.81% |     32.85% |     32.76% |     32.64% |     32.54% |     32.45% |     32.39%
    mpki                             |      35.74 |      35.79 |      35.69 |      35.55 |      35.44 |      35.35 |      35.29
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   36054805 |   36055601 |   35812574 |   35832606 |   35862787 |   36020241 |   35994944
    num cache misses                 |    2450388 |    2448715 |    2423199 |    2443210 |    2425952 |    2421633 |    2416872
    miss rate                        |      6.80% |      6.79% |      6.77% |      6.82% |      6.76% |      6.72% |      6.71%
    mpki                             |      31.31 |      31.29 |      31.18 |      31.42 |      31.17 |      30.98 |      30.94
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    5247057 |    5249312 |    5196941 |    5208373 |    5184848 |    5184936 |    5173705
    num cache misses                 |     429028 |     413110 |     553622 |     556110 |     539372 |     454429 |     462126
    miss rate                        |      8.18% |      7.87% |     10.65% |     10.68% |     10.40% |      8.76% |      8.93%
    mpki                             |       5.48 |       5.28 |       7.12 |       7.15 |       6.93 |       5.81 |       5.92
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     429043 |     413129 |     553638 |     556126 |     539388 |     454447 |     462141
    num cache misses                 |       3776 |       3824 |       3770 |       3770 |       3771 |       3776 |       3775
    miss rate                        |      0.88% |      0.93% |      0.68% |      0.68% |      0.70% |      0.83% |      0.82%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      26462 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      63.62 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.19 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1182 |       1200 |       1171 |       1162 |       1147 |       1180 |       1179
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
