                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   12621322 |   12621408 |   12621696 |   12621385 |   12621366 |   12621243 |   12621118 |   12621073 |   12621078 |   12620989 |   12621060 |   12620843
  Cycles                             |   50433600 |   50433600 |   50433600 |   50433600 |   50433600 |   50433600 |   50433600 |   50433600 |   50433600 |   50433600 |   50433600 |   50433600
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   18960000 |   18960000 |   18960000 |   18960000 |   18960000 |   18960000 |   18960000 |   18960000 |   18960000 |   18960000 |   18960000 |   18960000
  Idle time (ns)                     |         93 |        -25 |        -52 |         56 |         37 |         72 |         37 |         72 |         30 |         30 |        -44 |        -52
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2521973 |    2521984 |    2522009 |    2521982 |    2521981 |    2521966 |    2521950 |    2521946 |    2521946 |    2521934 |    2521941 |    2521914
  num incorrect                      |       1483 |       1494 |       1516 |       1492 |       1486 |       1475 |       1469 |       1468 |       1468 |       1463 |       1468 |       1449
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15272 |      15289 |      15333 |      15285 |      15280 |      15255 |      15234 |      15227 |      15228 |      15208 |      15223 |      15181
    num misses                       |         50 |         50 |         52 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.33% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40103 |      40144 |      40237 |      40131 |      40125 |      40061 |      40000 |      39990 |      39992 |      39958 |      39981 |      39856
    num misses                       |         74 |         74 |         74 |         74 |         74 |         74 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
