                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9     
  Instructions                       |    70121569 |    70116634 |    70110201 |    70121059 |    70121784 |    70113398 |    70105465 |    70109294 |    70121149 |    70111737
  Cycles                             |  1215969524 |  1215969524 |  1215969524 |  1215969524 |  1215969524 |  1215969524 |  1215969524 |  1215969524 |  1215969524 |  1215969524
  IPC                                |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06
  Time (ns)                          |   457131400 |   457131400 |   457131400 |   457131400 |   457131400 |   457131400 |   457131400 |   457131400 |   457131400 |   457131400
  Idle time (ns)                     |          59 |          19 |         -45 |          91 |         -74 |         -74 |          19 |          -8 |         526 |           9
  Idle time (%)                      |        0.0% |        0.0% |       -0.0% |        0.0% |       -0.0% |       -0.0% |        0.0% |       -0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10021992 |    10021314 |    10020395 |    10021932 |    10022008 |    10020852 |    10019719 |    10020266 |    10021944 |    10020615
  num incorrect                      |        1503 |        1443 |        1443 |        1464 |        1519 |        1443 |        1443 |        1443 |        1471 |        1443
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15312 |       15171 |       15171 |       15211 |       15340 |       15171 |       15171 |       15171 |       15233 |       15171
    num misses                       |          51 |          48 |          48 |          49 |          52 |          48 |          48 |          48 |          49 |          48
    miss rate                        |       0.33% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60040204 |    60036286 |    60030772 |    60039985 |    60040268 |    60033513 |    60026714 |    60029996 |    60040017 |    60032090
    num misses                       |          80 |          79 |          79 |          79 |          80 |          79 |          79 |          79 |          79 |          79
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         131 |         127 |         127 |         128 |         132 |         127 |         127 |         127 |         128 |         127
    num misses                       |         120 |         116 |         116 |         117 |         121 |         116 |         116 |         116 |         117 |         116
    miss rate                        |      91.60% |      91.34% |      91.34% |      91.41% |      91.67% |      91.34% |      91.34% |      91.34% |      91.41% |      91.34%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15312 |       15171 |       15171 |       15211 |       15340 |       15171 |       15171 |       15171 |       15233 |       15171
    num cache misses                 |        5441 |        5957 |        5835 |        6045 |        6040 |        6056 |        5338 |        5729 |        5820 |        5531
    miss rate                        |      35.53% |      39.27% |      38.46% |      39.74% |      39.37% |      39.92% |      35.19% |      37.76% |      38.21% |      36.46%
    mpki                             |        0.08 |        0.08 |        0.08 |        0.09 |        0.09 |        0.09 |        0.08 |        0.08 |        0.08 |        0.08
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60040204 |    60036286 |    60030772 |    60039985 |    60040268 |    60033513 |    60026714 |    60029996 |    60040017 |    60032090
    num cache misses                 |    28920623 |    28918967 |    28919114 |    28919736 |    28921294 |    28918729 |    28920084 |    28918423 |    28919164 |    28920792
