                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   72990215 |   75338228 |   75836208 |   76038561 |   74211130 |   74457305 |   75860672 |   75402010 |   78256678 |   75155746 |   77419816 |   78227049 |   78097536 |   78066451 |   77471016 |   71521341
  Cycles                             |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586 |  210677586
  IPC                                |       0.35 |       0.36 |       0.36 |       0.36 |       0.35 |       0.35 |       0.36 |       0.36 |       0.37 |       0.36 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.34
  Time (ns)                          |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100 |   79202100
  Idle time (ns)                     |         -8 |         15 |         47 |         18 |         -9 |         68 |         54 |         35 |         43 |         68 |         -8 |         84 |         74 |          9 |         -6 |         82
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2027734 |    2092002 |    2105633 |    2111172 |    2061152 |    2067889 |    2106302 |    2093748 |    2171907 |    2087006 |    2148977 |    2171071 |    2167527 |    2166677 |    2150378 |    1987528
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    7952879 |    8207951 |    8262049 |    8284032 |    8085511 |    8112252 |    8264706 |    8214880 |    8525013 |    8188126 |    8434081 |    8521772 |    8507704 |    8504328 |    8439642 |    7793309
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   33634170 |   34713768 |   34942736 |   35035777 |   34195536 |   34308725 |   34953984 |   34743094 |   36055649 |   34629863 |   35670866 |   36042024 |   35982476 |   35968184 |   35694406 |   32958792
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        114 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7952879 |    8207951 |    8262049 |    8284032 |    8085511 |    8112252 |    8264706 |    8214880 |    8525013 |    8188126 |    8434081 |    8521772 |    8507704 |    8504328 |    8439642 |    7793309
    num cache misses                 |    7053778 |    7221191 |    7267927 |    7265641 |    7125986 |    7168876 |    7264498 |    7223775 |    7465896 |    7209141 |    7398087 |    7470611 |    7452859 |    7447692 |    7403711 |    6881806
    miss rate                        |     88.69% |     87.98% |     87.97% |     87.71% |     88.13% |     88.37% |     87.90% |     87.94% |     87.58% |     88.04% |     87.72% |     87.66% |     87.60% |     87.58% |     87.73% |     88.30%
    mpki                             |      96.64 |      95.85 |      95.84 |      95.55 |      96.02 |      96.28 |      95.76 |      95.80 |      95.40 |      95.92 |      95.56 |      95.50 |      95.43 |      95.40 |      95.57 |      96.22
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   33634170 |   34713768 |   34942736 |   35035777 |   34195536 |   34308725 |   34953984 |   34743094 |   36055649 |   34629863 |   35670866 |   36042024 |   35982476 |   35968184 |   35694406 |   32958792
    num cache misses                 |   10590967 |   10733276 |   10836125 |   10831161 |   10632368 |   10717051 |   10801470 |   10767766 |   11033664 |   10718408 |   10932566 |   11025761 |   11002360 |   10994364 |   10972243 |   10340757
    miss rate                        |     31.49% |     30.92% |     31.01% |     30.91% |     31.09% |     31.24% |     30.90% |     30.99% |     30.60% |     30.95% |     30.65% |     30.59% |     30.58% |     30.57% |     30.74% |     31.37%
    mpki                             |     145.10 |     142.47 |     142.89 |     142.44 |     143.27 |     143.94 |     142.39 |     142.80 |     140.99 |     142.62 |     141.21 |     140.95 |     140.88 |     140.83 |     141.63 |     144.58
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   17644775 |   17954485 |   18104070 |   18096822 |   17758381 |   17885945 |   18066000 |   17991580 |   18499587 |   17927572 |   18330679 |   18496393 |   18455252 |   18442083 |   18375976 |   17222579
    num cache misses                 |   14539050 |   14716164 |   14851448 |   14855978 |   14592597 |   14683354 |   14799690 |   14730935 |   15154759 |   14662285 |   14995136 |   15121481 |   15067715 |   15067315 |   15049181 |   14171107
    miss rate                        |     82.40% |     81.96% |     82.03% |     82.09% |     82.17% |     82.09% |     81.92% |     81.88% |     81.92% |     81.79% |     81.80% |     81.75% |     81.64% |     81.70% |     81.90% |     82.28%
    mpki                             |     199.19 |     195.33 |     195.84 |     195.37 |     196.64 |     197.21 |     195.09 |     195.37 |     193.65 |     195.09 |     193.69 |     193.30 |     192.93 |     193.01 |     194.26 |     198.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14539084 |   14716184 |   14851469 |   14856000 |   14592627 |   14683372 |   14799726 |   14730977 |   15154789 |   14662309 |   14995167 |   15121505 |   15067752 |   15067345 |   15049207 |   14171125
    num cache misses                 |      10217 |       9860 |      10590 |      10086 |       9859 |      10756 |      10103 |       9980 |      10543 |       9780 |      10272 |       9949 |      10361 |       9644 |      10197 |      10594
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.06% |      0.07% |      0.07%
    mpki                             |       0.14 |       0.13 |       0.14 |       0.13 |       0.13 |       0.14 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.12 |       0.13 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     167578 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     119.53 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      66.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2456 |       2248 |       2296 |       2071 |       2254 |       2354 |       2342 |       2404 |       2548 |       2341 |       2549 |       2348 |       2442 |       2484 |       2441 |       2201
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
