                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40121608 |   40114828 |   40120921
  Cycles                             |   40454610 |   40454610 |   40454610
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   15208500 |   15208500 |   15208500
  Idle time (ns)                     |          1 |        -16 |         91
  Idle time (%)                      |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022008 |   10020457 |   10021928
  num incorrect                      |       1517 |       1441 |       1456
  misprediction rate                 |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15334 |      15165 |      15195
    num misses                       |         52 |         48 |         49
    miss rate                        |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40198 |      39839 |      39930
    num misses                       |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        128 |        123 |        124
    num misses                       |        121 |        116 |        117
    miss rate                        |     94.53% |     94.31% |     94.35%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15334 |      15165 |      15195
    num cache misses                 |       1416 |       1318 |       1360
    miss rate                        |      9.23% |      8.69% |      8.95%
    mpki                             |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |      40198 |      39839 |      39930
    num cache misses                 |       2436 |       2407 |       2413
    miss rate                        |      6.06% |      6.04% |      6.04%
    mpki                             |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |           
    num cache accesses               |       3897 |       3766 |       3817
    num cache misses                 |       2735 |       2649 |       2667
    miss rate                        |     70.18% |     70.34% |     69.87%
    mpki                             |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |           
    num cache accesses               |       2780 |       2690 |       2711
    num cache misses                 |       2477 |       2411 |       2427
    miss rate                        |     89.10% |     89.63% |     89.52%
    mpki                             |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |           
  num dram accesses                  |       7315 |          0 |          0
  average dram access latency (ns)   |      68.85 |        inf |        inf
  average dram queueing delay        |      15.42 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1134 |       1122 |       1127
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
