                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |  101579679 |  108033173 |  107316594 |  101517704 |  106660390 |  102930294 |  102473816 |  102077929 |  101823091 |  102990160
  Cycles                             |  336826490 |  336826490 |  336826490 |  336826490 |  336826490 |  336826490 |  336826490 |  336826490 |  336826490 |  336826490
  IPC                                |       0.30 |       0.32 |       0.32 |       0.30 |       0.32 |       0.31 |       0.30 |       0.30 |       0.30 |       0.31
  Time (ns)                          |  126626500 |  126626500 |  126626500 |  126626500 |  126626500 |  126626500 |  126626500 |  126626500 |  126626500 |  126626500
  Idle time (ns)                     |       -115 |       -115 |        -72 |        -53 |         39 |        -34 |        -37 |        -45 |        -34 |        -65
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   16053122 |   17101784 |   16988214 |   16042827 |   16885127 |   16274907 |   16199991 |   16134947 |   16093061 |   16284643
  num incorrect                      |     261126 |     281892 |     279690 |     260921 |     278064 |     265537 |     264042 |     262743 |     261915 |     265730
  misprediction rate                 |      1.60% |      1.62% |      1.62% |      1.60% |      1.62% |      1.61% |      1.60% |      1.60% |      1.60% |      1.61%
  mpki                               |       2.57 |       2.61 |       2.61 |       2.57 |       2.61 |       2.58 |       2.58 |       2.57 |       2.57 |       2.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15674054 |   16653068 |   16546240 |   15664806 |   16442249 |   15877665 |   15808867 |   15749098 |   15710684 |   15886843
    num misses                       |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36810755 |   39205552 |   38948675 |   36787651 |   38718745 |   37318146 |   37146525 |   36997902 |   36902142 |   37340507
    num misses                       |       1028 |       1051 |       1033 |       1028 |       1029 |       1029 |       1028 |       1028 |       1028 |       1029
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1166 |       1203 |       1171 |       1166 |       1167 |       1167 |       1166 |       1166 |       1166 |       1167
    num misses                       |        354 |        363 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.36% |     30.17% |     30.23% |     30.36% |     30.33% |     30.33% |     30.36% |     30.36% |     30.36% |     30.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15674054 |   16653068 |   16546240 |   15664806 |   16442249 |   15877665 |   15808867 |   15749098 |   15710684 |   15886843
    num cache misses                 |    6744765 |    5775740 |    5809561 |    6678674 |    5781374 |    6530242 |    6665280 |    6676604 |    6738671 |    6468223
    miss rate                        |     43.03% |     34.68% |     35.11% |     42.63% |     35.16% |     41.13% |     42.16% |     42.39% |     42.89% |     40.71%
    mpki                             |      66.40 |      53.46 |      54.13 |      65.79 |      54.20 |      63.44 |      65.04 |      65.41 |      66.18 |      62.80
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36810755 |   39205552 |   38948675 |   36787651 |   38718745 |   37318146 |   37146525 |   36997902 |   36902142 |   37340507
    num cache misses                 |    2761711 |    2581785 |    2607475 |    2751576 |    2621528 |    2720247 |    2740864 |    2753468 |    2767800 |    2698599
    miss rate                        |      7.50% |      6.59% |      6.69% |      7.48% |      6.77% |      7.29% |      7.38% |      7.44% |      7.50% |      7.23%
    mpki                             |      27.19 |      23.90 |      24.30 |      27.10 |      24.58 |      26.43 |      26.75 |      26.97 |      27.18 |      26.20
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    9509490 |    8360586 |    8420165 |    9433231 |    8406061 |    9253791 |    9409323 |    9433158 |    9509448 |    9170136
    num cache misses                 |    2373695 |    2157115 |    2207167 |    2363265 |    2278727 |    2354092 |    2351909 |    2368759 |    2362461 |    2326908
    miss rate                        |     24.96% |     25.80% |     26.21% |     25.05% |     27.11% |     25.44% |     25.00% |     25.11% |     24.84% |     25.37%
    mpki                             |      23.37 |      19.97 |      20.57 |      23.28 |      21.36 |      22.87 |      22.95 |      23.21 |      23.20 |      22.59
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2376775 |    2160286 |    2210446 |    2366322 |    2281995 |    2357503 |    2355170 |    2371930 |    2365523 |    2330311
    num cache misses                 |      26118 |      24629 |      25131 |      26112 |      25517 |      26145 |      26127 |      26192 |      26041 |      26100
    miss rate                        |      1.10% |      1.14% |      1.14% |      1.10% |      1.12% |      1.11% |      1.11% |      1.10% |      1.10% |      1.12%
    mpki                             |       0.26 |       0.23 |       0.23 |       0.26 |       0.24 |       0.25 |       0.25 |       0.26 |       0.26 |       0.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     374453 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      59.65 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       6.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      13726 |      12230 |      12614 |      13709 |      12944 |      13842 |      13840 |      13898 |      13716 |      13814
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
