                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     121064 |     121286 |     121627 |     121436 |     121453 |     121418 |     121399 |     121421 |     121351 |     121254 |     121302 |     121183 |     121139 |     121107 |     121125 |     121027
  Cycles                             |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836 |     570836
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600 |     214600
  Idle time (ns)                     |          0 |         -3 |        -77 |        113 |         97 |         86 |         79 |         31 |         31 |          0 |        -29 |        113 |         79 |         47 |        -29 |        139
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.1% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.1% |       0.0% |       0.0% |      -0.0% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21960 |      21984 |      22023 |      22000 |      22001 |      22000 |      21998 |      22000 |      21993 |      21980 |      21985 |      21973 |      21967 |      21963 |      21966 |      21952
  num incorrect                      |       1455 |       1466 |       1503 |       1482 |       1485 |       1482 |       1482 |       1482 |       1473 |       1465 |       1469 |       1458 |       1458 |       1456 |       1458 |       1454
  misprediction rate                 |      6.21% |      6.25% |      6.39% |      6.31% |      6.32% |      6.31% |      6.31% |      6.31% |      6.28% |      6.25% |      6.26% |      6.22% |      6.22% |      6.22% |      6.22% |      6.21%
  mpki                               |      12.02 |      12.09 |      12.36 |      12.20 |      12.23 |      12.21 |      12.21 |      12.21 |      12.14 |      12.08 |      12.11 |      12.03 |      12.04 |      12.02 |      12.04 |      12.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15224 |      15263 |      15330 |      15291 |      15294 |      15289 |      15286 |      15289 |      15276 |      15257 |      15267 |      15246 |      15241 |      15231 |      15237 |      15217
    num misses                       |         49 |         50 |         52 |         51 |         51 |         51 |         50 |         51 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.40 |       0.41 |       0.43 |       0.42 |       0.42 |       0.42 |       0.41 |       0.42 |       0.41 |       0.41 |       0.41 |       0.40 |       0.40 |       0.40 |       0.40 |       0.40
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39986 |      40090 |      40200 |      40158 |      40173 |      40146 |      40142 |      40149 |      40116 |      40073 |      40095 |      40039 |      40017 |      39996 |      40003 |      39969
    num misses                       |        117 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        117 |        117 |        117 |        117 |        117
