                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   12577957 |   12578621 |   12617305 |   12586492 |   12578837 |   12598777 |   12621709 |   12577701 |   12576878 |   12589469 |   12576840 |   12602027 |   12610891 |   12579571 |   12581010 |   12582285
  Cycles                             |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204 |   67775204
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400 |   25479400
  Idle time (ns)                     |         82 |        208 |         65 |         53 |         27 |         41 |         -3 |         75 |        193 |        170 |         27 |         -3 |        221 |        197 |        179 |        162
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2513367 |    2513500 |    2521237 |    2515075 |    2513543 |    2517531 |    2522009 |    2513316 |    2513151 |    2515669 |    2513143 |    2518181 |    2519954 |    2513690 |    2513977 |    2514233
  num incorrect                      |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
