                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |    9978958 |    9979092 |    9957741 |    9960439 |    9964084 |    9978018 |    9968642
  Cycles                             |   30514722 |   30514722 |   30514722 |   30514722 |   30514722 |   30514722 |   30514722
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   11471700 |   11471700 |   11471700 |   11471700 |   11471700 |   11471700 |   11471700
  Idle time (ns)                     |         -7 |        -66 |         -7 |        -27 |        -38 |        -66 |         41
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |     301056 |     301064 |     300401 |     300476 |     300577 |     300962 |     300704
  num incorrect                      |       1537 |       1544 |       1467 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.51% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    1097174 |    1097185 |    1094797 |    1095091 |    1095489 |    1097009 |    1095988
    num misses                       |         51 |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    4596311 |    4596324 |    4586563 |    4587802 |    4589480 |    4595892 |    4591576
    num misses                       |         94 |         94 |         92 |         92 |         92 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        145 |        146 |        140 |        140 |        140 |        140 |        140
    num misses                       |        133 |        134 |        129 |        129 |        129 |        129 |        129
    miss rate                        |     91.72% |     91.78% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    1097174 |    1097185 |    1094797 |    1095091 |    1095489 |    1097009 |    1095988
    num cache misses                 |     359355 |     359585 |     357779 |     356547 |     355183 |     354886 |     353487
    miss rate                        |     32.75% |     32.77% |     32.68% |     32.56% |     32.42% |     32.35% |     32.25%
    mpki                             |      36.01 |      36.03 |      35.93 |      35.80 |      35.65 |      35.57 |      35.46
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |    4596311 |    4596324 |    4586563 |    4587802 |    4589480 |    4595892 |    4591576
    num cache misses                 |     372356 |     353402 |     377316 |     382256 |     375084 |     374837 |     376671
    miss rate                        |      8.10% |      7.69% |      8.23% |      8.33% |      8.17% |      8.16% |      8.20%
    mpki                             |      37.31 |      35.41 |      37.89 |      38.38 |      37.64 |      37.57 |      37.79
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |     731744 |     713021 |     735126 |     738835 |     730299 |     729756 |     730189
    num cache misses                 |      25947 |      25094 |      25348 |      25040 |      25046 |      25071 |      25415
    miss rate                        |      3.55% |      3.52% |      3.45% |      3.39% |      3.43% |      3.44% |      3.48%
    mpki                             |       2.60 |       2.51 |       2.55 |       2.51 |       2.51 |       2.51 |       2.55
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |      25983 |      25130 |      25382 |      25074 |      25080 |      25105 |      25449
    num cache misses                 |       3212 |       3219 |       3153 |       3153 |       3153 |       3153 |       3153
    miss rate                        |     12.36% |     12.81% |     12.42% |     12.57% |     12.57% |     12.56% |     12.39%
    mpki                             |       0.32 |       0.32 |       0.32 |       0.32 |       0.32 |       0.32 |       0.32
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      22196 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      70.53 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      17.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1391 |       1394 |       1386 |       1388 |       1393 |       1385 |       1392
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
