                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache accesses               |     684124 |     679627 |     675308 |     671606 |     669854 |     668411 |     667442 |     667513 |     665246 |     667025 |     666542 |     664296 |     666056 |     666385 |     662917
    num cache misses                 |     681035 |     677049 |     673038 |     669224 |     667768 |     666214 |     665185 |     665382 |     662634 |     664816 |     664030 |     661541 |     663782 |     664269 |     660619
    miss rate                        |     99.55% |     99.62% |     99.66% |     99.65% |     99.69% |     99.67% |     99.66% |     99.68% |     99.61% |     99.67% |     99.62% |     99.59% |     99.66% |     99.68% |     99.65%
    mpki                             |      16.97 |      16.88 |      16.78 |      16.70 |      16.68 |      16.65 |      16.62 |      16.63 |      16.55 |      16.62 |      16.60 |      16.53 |      16.60 |      16.61 |      16.49
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     681068 |     677078 |     673067 |     669253 |     667797 |     666243 |     665214 |     665411 |     662665 |     664845 |     664061 |     661572 |     663811 |     664300 |     660653
    num cache misses                 |       2493 |       2420 |       2416 |       2418 |       2418 |       2417 |       2417 |       2417 |       2418 |       2417 |       2416 |       2418 |       2417 |       2417 |       2417
    miss rate                        |      0.37% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.37% |      0.36% |      0.36% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      36346 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      95.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      41.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1168 |       1169 |       1176 |       1170 |       1171 |       1168 |       1174 |       1175 |       1162 |       1176 |       1171 |       1165 |       1169 |       1174 |       1164
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
