                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |      77372 |      79977 |      90563 |      81619 |      83157 |      84024 |      80285 |      82897 |      78155 |      80420 |      79524 |      82979
  Cycles                             |    1342236 |    1342236 |    1342236 |    1342236 |    1342236 |    1342236 |    1342236 |    1342236 |    1342236 |    1342236 |    1342236 |    1342236
  IPC                                |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     504600 |     504600 |     504600 |     504600 |     504600 |     504600 |     504600 |     504600 |     504600 |     504600 |     504600 |     504600
  Idle time (ns)                     |        331 |        152 |        -42 |        367 |        253 |        253 |        331 |        206 |        244 |        -42 |        532 |        455
  Idle time (%)                      |       0.1% |       0.0% |      -0.0% |       0.1% |       0.1% |       0.1% |       0.1% |       0.0% |       0.0% |      -0.0% |       0.1% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      17043 |      17564 |      19646 |      17892 |      18200 |      18373 |      17625 |      18148 |      17200 |      17653 |      17473 |      18165
  num incorrect                      |       1046 |       1046 |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.78% |      5.62% |      5.23% |      5.52% |      5.43% |      5.39% |      5.60% |      5.45% |      5.73% |      5.59% |      5.65% |      5.44%
  mpki                               |      13.52 |      13.08 |      11.98 |      12.82 |      12.58 |      12.45 |      13.03 |      12.62 |      13.38 |      13.01 |      13.15 |      12.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         42 |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.54 |       0.53 |       0.50 |       0.51 |       0.51 |       0.50 |       0.52 |       0.51 |       0.54 |       0.52 |       0.53 |       0.51
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      54164 |      57288 |      69710 |      59255 |      61106 |      62147 |      57657 |      60792 |      55106 |      57802 |      56746 |      60894
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.04% |      0.04% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.03%
    mpki                             |       0.27 |       0.26 |       0.23 |       0.26 |       0.25 |       0.25 |       0.26 |       0.25 |       0.27 |       0.26 |       0.26 |       0.25
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         63 |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
