                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   78256461 |   78256622 |   78256678
  Cycles                             |   31857490 |   31857490 |   31857490
  IPC                                |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11976500 |   11976500 |   11976500
  Idle time (ns)                     |        -62 |        -12 |         98
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |    2171883 |    2171901 |    2171907
  num incorrect                      |        996 |       1016 |       1022
  misprediction rate                 |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    8524976 |    8525006 |    8525013
    num misses                       |         40 |         42 |         43
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   36055546 |   36055626 |   36055649
    num misses                       |         71 |         71 |         71
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        111 |        113 |        114
    num misses                       |        109 |        111 |        112
    miss rate                        |     98.20% |     98.23% |     98.25%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    8524976 |    8525006 |    8525013
    num cache misses                 |        452 |        469 |        474
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |           
    num cache accesses               |   36055546 |   36055626 |   36055649
    num cache misses                 |    2119613 |    2119624 |    2119624
    miss rate                        |      5.88% |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09 |      27.09
  Cache L2                           |            |            |           
    num cache accesses               |    2120083 |    2120114 |    2120121
    num cache misses                 |       3796 |       3823 |       3828
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |           
    num cache accesses               |       3815 |       3845 |       3852
    num cache misses                 |       3794 |       3821 |       3826
    miss rate                        |     99.45% |     99.38% |     99.33%
    mpki                             |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |           
  num dram accesses                  |      11441 |          0 |          0
  average dram access latency (ns)   |      67.60 |        inf |        inf
  average dram queueing delay        |      14.17 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |        154 |        165 |        165
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
