                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   70121316 |   70121743 |   70121693 |   70121558 |   70121468 |   70121375 |   70121410 |   70121600 |   70121427
  Cycles                             |  360331846 |  360331846 |  360331846 |  360331846 |  360331846 |  360331846 |  360331846 |  360331846 |  360331846
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  135463100 |  135463100 |  135463100 |  135463100 |  135463100 |  135463100 |  135463100 |  135463100 |  135463100
  Idle time (ns)                     |        -65 |        -77 |         31 |         12 |         25 |         25 |        -77 |        -17 |         25
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10021964 |   10022008 |   10022008 |   10021989 |   10021983 |   10021969 |   10021976 |   10021999 |   10021977
  num incorrect                      |       1478 |       1519 |       1519 |       1502 |       1496 |       1483 |       1488 |       1509 |       1488
  misprediction rate                 |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15262 |      15340 |      15338 |      15309 |      15294 |      15274 |      15284 |      15324 |      15284
    num misses                       |         50 |         52 |         51 |         51 |         50 |         50 |         50 |         51 |         50
    miss rate                        |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   60040085 |   60040250 |   60040279 |   60040211 |   60040169 |   60040121 |   60040141 |   60040234 |   60040145
