                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |     121659 |     120831 |     118750 |     115998 |     117449 |     120889 |     118402 |     117975 |     116188 |     120643 |     116500 |     116863 |     115594
  Cycles                             |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306 |    1181306
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     444100 |     444100 |     444100 |     444100 |     444100 |     444100 |     444100 |     444100 |     444100 |     444100 |     444100 |     444100 |     444100
  Idle time (ns)                     |         -5 |       1145 |        123 |         29 |        861 |        535 |         90 |        217 |         29 |        177 |        293 |         -5 |         86
  Idle time (%)                      |      -0.0% |       0.3% |       0.0% |       0.0% |       0.2% |       0.1% |       0.0% |       0.0% |       0.0% |       0.0% |       0.1% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      22023 |      21934 |      21558 |      21232 |      21415 |      21942 |      21521 |      21471 |      21251 |      21923 |      21296 |      21343 |      21172
  num incorrect                      |       1503 |       1437 |       1354 |       1327 |       1342 |       1440 |       1347 |       1346 |       1329 |       1426 |       1331 |       1331 |       1327
  misprediction rate                 |      6.39% |      6.15% |      5.91% |      5.88% |      5.90% |      6.16% |      5.89% |      5.90% |      5.89% |      6.11% |      5.88% |      5.87% |      5.90%
  mpki                               |      12.35 |      11.89 |      11.40 |      11.44 |      11.43 |      11.91 |      11.38 |      11.41 |      11.44 |      11.82 |      11.42 |      11.39 |      11.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15182 |      14995 |      14699 |      14864 |      15187 |      14944 |      14910 |      14706 |      15154 |      14746 |      14776 |      14650
    num misses                       |         52 |         49 |         45 |         41 |         42 |         49 |         42 |         42 |         41 |         47 |         41 |         41 |         41
    miss rate                        |      0.34% |      0.32% |      0.30% |      0.28% |      0.28% |      0.32% |      0.28% |      0.28% |      0.28% |      0.31% |      0.28% |      0.28% |      0.28%
    mpki                             |       0.43 |       0.41 |       0.38 |       0.35 |       0.36 |       0.41 |       0.35 |       0.36 |       0.35 |       0.39 |       0.35 |       0.35 |       0.35
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
