CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.65       0.45       0.45       0.44       0.40       0.41       0.49       0.42       0.57       0.43       0.45       0.40       0.42       0.37       0.41       0.53
dispatch_width         0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
rs_full                0.43       0.53       0.52       0.51       0.50       0.49       0.40       0.48       0.44       0.48       0.49       0.52       0.50       0.49       0.52       0.42
depend-int             0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-fp              0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port0            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port1            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port34           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port5            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port05           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
serial                 0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
smt                    1.32       1.49       1.49       1.48       1.46       1.47       1.28       1.45       1.31       1.46       1.42       1.49       1.47       1.50       1.48       1.30
branch                 0.10       0.12       0.11       0.12       0.11       0.10       0.10       0.12       0.10       0.13       0.13       0.11       0.11       0.12       0.12       0.09
itlb                   0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
dtlb                   0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 3.34       3.83       3.91       3.93       3.97       4.12       3.43       4.00       3.38       3.91       3.90       3.90       4.05       4.00       4.00       3.41
mem-l1d                0.16       0.17       0.16       0.17       0.16       0.16       0.16       0.16       0.15       0.17       0.17       0.17       0.17       0.16       0.17       0.14
mem-l2                 0.12       0.09       0.09       0.09       0.10       0.10       0.12       0.10       0.11       0.08       0.10       0.11       0.10       0.09       0.11       0.12
mem-l3                 1.06       1.30       1.31       1.28       1.31       1.30       1.00       1.25       1.01       1.28       1.26       1.32       1.28       1.31       1.27       1.03
