                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   39498076 |   40121695 |   39486472 |   39472277 |   40121532 |   40117016
  Cycles                             |   79955344 |   79955344 |   79955344 |   79955344 |   79955344 |   79955344
  IPC                                |       0.49 |       0.50 |       0.49 |       0.49 |       0.50 |       0.50
  Time (ns)                          |   30058400 |   30058400 |   30058400 |   30058400 |   30058400 |   30058400
  Idle time (ns)                     |        -48 |        -64 |        -48 |        -64 |        510 |        -48
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    9866249 |   10022006 |    9863347 |    9859801 |   10021990 |   10020983
  num incorrect                      |       1442 |       1519 |       1442 |       1442 |       1503 |       1442
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   19703846 |   20015334 |   19698040 |   19690949 |   20015306 |   20013312
    num misses                       |         48 |         52 |         48 |         48 |         51 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      39847 |      40224 |      39847 |      39847 |      40178 |      39847
    num misses                       |         73 |         74 |         73 |         73 |         74 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        121 |        126 |        121 |        121 |        125 |        121
    num misses                       |        117 |        122 |        117 |        117 |        121 |        117
    miss rate                        |     96.69% |     96.83% |     96.69% |     96.69% |     96.80% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   19703846 |   20015334 |   19698040 |   19690949 |   20015306 |   20013312
    num cache misses                 |     649356 |     649643 |     649467 |     649339 |     649669 |     649296
    miss rate                        |      3.30% |      3.25% |      3.30% |      3.30% |      3.25% |      3.24%
    mpki                             |      16.44 |      16.19 |      16.45 |      16.45 |      16.19 |      16.19
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      39847 |      40224 |      39847 |      39847 |      40178 |      39847
    num cache misses                 |       3779 |       3994 |       3883 |       3689 |       3960 |       3701
    miss rate                        |      9.48% |      9.93% |      9.74% |      9.26% |      9.86% |      9.29%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.09 |       0.10 |       0.09
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     653168 |     653672 |     653383 |     653060 |     653663 |     653030
    num cache misses                 |       3224 |       3354 |       3255 |       3242 |       3336 |       3227
    miss rate                        |      0.49% |      0.51% |      0.50% |      0.50% |      0.51% |      0.49%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3261 |       3393 |       3292 |       3279 |       3374 |       3264
    num cache misses                 |       2414 |       2481 |       2414 |       2414 |       2463 |       2414
    miss rate                        |     74.03% |     73.12% |     73.33% |     73.62% |     73.00% |     73.96%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14600 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.88 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.45 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1139 |       1140 |       1139 |       1130 |       1137 |       1133
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
