                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   40121674 |   40116757 |   40109225 |   40107841
  Cycles                             |   53991882 |   53991882 |   53991882 |   53991882
  IPC                                |       0.74 |       0.74 |       0.74 |       0.74
  Time (ns)                          |   20297700 |   20297700 |   20297700 |   20297700
  Idle time (ns)                     |        -86 |        -64 |        -86 |        -41
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022006 |   10020918 |   10019022 |   10018694
  num incorrect                      |       1519 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20015334 |   20013184 |   20009391 |   20008735
    num misses                       |         52 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40210 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20015334 |   20013184 |   20009391 |   20008735
    num cache misses                 |       1576 |       1561 |       1539 |       1587
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40210 |      39847 |      39847 |      39847
    num cache misses                 |       2659 |       2647 |       2639 |       2638
    miss rate                        |      6.61% |      6.64% |      6.62% |      6.62%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |           
    num cache accesses               |       4271 |       4242 |       4212 |       4259
    num cache misses                 |       2816 |       2728 |       2712 |       2716
    miss rate                        |     65.93% |     64.31% |     64.39% |     63.77%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |       2855 |       2765 |       2749 |       2753
    num cache misses                 |       2481 |       2414 |       2414 |       2414
    miss rate                        |     86.90% |     87.31% |     87.81% |     87.69%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9723 |          0 |          0 |          0
  average dram access latency (ns)   |      67.97 |        inf |        inf |        inf
  average dram queueing delay        |      14.54 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1126 |       1119 |       1121 |       1119
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
