                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   28759957 |   28260781 |   27989277 |   27938874 |   27948161 |   27897901 |   27862881 |   27837277 |   27884586 |   28033595
  Cycles                             |  141582756 |  141582756 |  141582756 |  141582756 |  141582756 |  141582756 |  141582756 |  141582756 |  141582756 |  141582756
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   53226600 |   53226600 |   53226600 |   53226600 |   53226600 |   53226600 |   53226600 |   53226600 |   53226600 |   53226600
  Idle time (ns)                     |        -20 |         24 |        123 |        -20 |        164 |        -20 |         77 |        146 |         65 |         77
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1049937 |    1044644 |    1043663 |    1043843 |    1042917 |    1042456 |    1040997 |    1042776 |    1045509
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7951 |       7946 |       7936 |       7949 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2837722 |    2816755 |    2812864 |    2813580 |    2809748 |    2807221 |    2803831 |    2808828 |    2820179
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
