                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   60101860 |   60088987 |   60121568 |   60120992 |   60094771 |   60121702 |   60107878 |   60088582 |   60114769 |   60087426 |   60104398 |   60090328 |   60093030 |   60089980 |   60087310
  Cycles                             |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588 |  301196588
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800 |  113231800
  Idle time (ns)                     |         65 |         46 |        134 |        -54 |         73 |        -70 |         31 |          3 |        -54 |        104 |         11 |         21 |         -4 |        -70 |         60
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10018776 |   10016631 |   10022005 |   10021935 |   10017594 |   10022010 |   10019779 |   10016563 |   10020928 |   10016370 |   10019199 |   10016854 |   10017304 |   10016796 |   10016351
  num incorrect                      |       1440 |       1440 |       1510 |       1465 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
