                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   60121629 |   60121081 |   60120834 |   60116413 |   60120816
  Cycles                             |  100741116 |  100741116 |  100741116 |  100741116 |  100741116
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   37872600 |   37872600 |   37872600 |   37872600 |   37872600
  Idle time (ns)                     |       -148 |       -102 |         -9 |       -148 |        224
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022010 |   10021948 |   10021921 |   10021204 |   10021918
  num incorrect                      |       1516 |       1467 |       1450 |       1440 |       1449
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15333 |      15228 |      15184 |      15164 |      15184
    num misses                       |         52 |         49 |         49 |         48 |         49
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40208 |      39989 |      39860 |      39845 |      39866
    num misses                       |        159 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        211 |        207 |        207 |        206 |        207
    num misses                       |        127 |        123 |        123 |        122 |        123
    miss rate                        |     60.19% |     59.42% |     59.42% |     59.22% |     59.42%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15333 |      15228 |      15184 |      15164 |      15184
    num cache misses                 |       3722 |       3911 |       3844 |       3667 |       3878
    miss rate                        |     24.27% |     25.68% |     25.32% |     24.18% |     25.54%
    mpki                             |       0.06 |       0.07 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40208 |      39989 |      39860 |      39845 |      39866
    num cache misses                 |       3491 |       3487 |       3399 |       3406 |       3457
    miss rate                        |      8.68% |      8.72% |      8.53% |      8.55% |      8.67%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       7248 |       7432 |       7277 |       7108 |       7367
    num cache misses                 |       3265 |       3190 |       3178 |       3168 |       3180
    miss rate                        |     45.05% |     42.92% |     43.67% |     44.57% |     43.17%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3303 |       3227 |       3214 |       3205 |       3216
    num cache misses                 |       2477 |       2430 |       2425 |       2411 |       2425
    miss rate                        |     74.99% |     75.30% |     75.45% |     75.23% |     75.40%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12168 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.73 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.30 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1145 |       1136 |       1135 |       1136 |       1140
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
