                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   12621695 |   12621395 |   12621430 |   12621327 |   12621560 |   12621298 |   12621289 |   12621199 |   12621177 |   12621107 |   12621069 |   12621060 |   12620994 |   12620963 |   12620855 |   12620834
  Cycles                             |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244 |   67227244
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400 |   25273400
  Idle time (ns)                     |       -128 |        -38 |        -44 |         48 |        -17 |         24 |         23 |         23 |        -69 |        -70 |        -70 |        -69 |        -82 |       -112 |         14 |        -26
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2522009 |    2521983 |    2521986 |    2521974 |    2522002 |    2521970 |    2521970 |    2521959 |    2521958 |    2521949 |    2521944 |    2521941 |    2521934 |    2521931 |    2521922 |    2521920
  num incorrect                      |       1516 |       1492 |       1495 |       1483 |       1509 |       1480 |       1478 |       1472 |       1471 |       1469 |       1468 |       1468 |       1465 |       1458 |       1451 |       1450
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
