                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   28523564 |   28561585 |   28504627 |   28533816 |   28525216 |   28558655 |   28525957 |   28526012 |   28586524 |   28587229 |   28620675 |   28684175 |   28592146 |   28759941 |   28726078 |   28661731
  Cycles                             |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816 |  294508816
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600 |  110717600
  Idle time (ns)                     |        149 |        299 |        299 |        308 |        442 |        392 |        282 |        282 |         37 |        238 |        308 |        116 |        -42 |        -42 |        144 |        282
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1055059 |    1055801 |    1054690 |    1055260 |    1055091 |    1055743 |    1055107 |    1055108 |    1056287 |    1056301 |    1056953 |    1058190 |    1056395 |    1059719 |    1059008 |    1057753
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
