                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |    9609844 |    9613837 |    9637243 |    9732242 |    9811114 |    9853555 |    9893137 |    9763519 |    9780637 |    9778016 |    9764201 |    9777294 |    9794766
  Cycles                             |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126 |   76797126
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100 |   28871100
  Idle time (ns)                     |        146 |         -5 |         95 |        225 |        225 |         69 |        -76 |         91 |        -76 |         69 |        146 |         61 |        127
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     279489 |     279599 |     280247 |     282880 |     285067 |     286243 |     287362 |     283748 |     284222 |     284149 |     283768 |     284130 |     284614
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.35% |      0.35% |      0.35% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1055292 |    1055727 |    1058281 |    1068652 |    1077262 |    1081895 |    1086228 |    1072066 |    1073935 |    1073647 |    1072143 |    1073570 |    1075477
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4434324 |    4436162 |    4446931 |    4490644 |    4526934 |    4546464 |    4564626 |    4505030 |    4512899 |    4511703 |    4505352 |    4511373 |    4519414
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1055292 |    1055727 |    1058281 |    1068652 |    1077262 |    1081895 |    1086228 |    1072066 |    1073935 |    1073647 |    1072143 |    1073570 |    1075477
    num cache misses                 |     360792 |     355508 |     353048 |     353802 |     354321 |     352245 |     353755 |     350124 |     349920 |     349291 |     348256 |     348422 |     348605
    miss rate                        |     34.19% |     33.67% |     33.36% |     33.11% |     32.89% |     32.56% |     32.57% |     32.66% |     32.58% |     32.53% |     32.48% |     32.45% |     32.41%
    mpki                             |      37.54 |      36.98 |      36.63 |      36.35 |      36.11 |      35.75 |      35.76 |      35.86 |      35.78 |      35.72 |      35.67 |      35.64 |      35.59
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4434324 |    4436162 |    4446931 |    4490644 |    4526934 |    4546464 |    4564626 |    4505030 |    4512899 |    4511703 |    4505352 |    4511373 |    4519414
    num cache misses                 |    1814620 |    1818796 |    1824734 |    1774333 |    1749441 |    1702707 |    1676791 |    1773868 |    1784673 |    1792714 |    1775264 |    1789699 |    1781029
    miss rate                        |     40.92% |     41.00% |     41.03% |     39.51% |     38.65% |     37.45% |     36.73% |     39.38% |     39.55% |     39.73% |     39.40% |     39.67% |     39.41%
    mpki                             |     188.83 |     189.19 |     189.34 |     182.31 |     178.31 |     172.80 |     169.49 |     181.68 |     182.47 |     183.34 |     181.81 |     183.05 |     181.83
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2175423 |    2174316 |    2177794 |    2128149 |    2103774 |    2054966 |    2030563 |    2124004 |    2134607 |    2142017 |    2123533 |    2138133 |    2129646
    num cache misses                 |    1974624 |    1982028 |    1980468 |    1964425 |    1926344 |    1909687 |    1899476 |    1959253 |    1954912 |    1957534 |    1959173 |    1956290 |    1948661
    miss rate                        |     90.77% |     91.16% |     90.94% |     92.31% |     91.57% |     92.93% |     93.54% |     92.24% |     91.58% |     91.39% |     92.26% |     91.50% |     91.50%
    mpki                             |     205.48 |     206.16 |     205.50 |     201.85 |     196.34 |     193.81 |     192.00 |     200.67 |     199.88 |     200.20 |     200.65 |     200.09 |     198.95
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1974639 |    1982040 |    1980480 |    1964441 |    1926356 |    1909701 |    1899494 |    1959266 |    1954926 |    1957546 |    1959189 |    1956302 |    1948676
    num cache misses                 |       1486 |       1486 |       1485 |       1487 |       1491 |       1489 |       1538 |       1488 |       1488 |       1488 |       1488 |       1488 |       1491
    miss rate                        |      0.08% |      0.07% |      0.07% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      19445 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      88.96 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      35.53 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        626 |        609 |        626 |        617 |        579 |        529 |        565 |        633 |        596 |        613 |        612 |        615 |        622
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
