                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    9974939 |    9976275 |    9977228 |    9979085 |    9977067 |    9977855 |    9975656 |    9976242 |    9976405 |    9976924 |    9976306 |    9976313
  Cycles                             |   48444452 |   48444452 |   48444452 |   48444452 |   48444452 |   48444452 |   48444452 |   48444452 |   48444452 |   48444452 |   48444452 |   48444452
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   18212200 |   18212200 |   18212200 |   18212200 |   18212200 |   18212200 |   18212200 |   18212200 |   18212200 |   18212200 |   18212200 |   18212200
  Idle time (ns)                     |        -39 |         44 |         21 |        -73 |        -73 |         42 |          2 |        104 |         85 |        -39 |         85 |        139
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     300877 |     300915 |     300940 |     301064 |     300933 |     300957 |     300896 |     300914 |     300918 |     300932 |     300915 |     300916
  num incorrect                      |       1467 |       1467 |       1467 |       1544 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.49% |      0.49% |      0.49% |      0.51% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1096672 |    1096819 |    1096921 |    1097185 |    1096893 |    1096989 |    1096749 |    1096816 |    1096833 |    1096889 |    1096821 |    1096824
    num misses                       |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
