                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       0.16 |       0.16 |       0.15 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.16 |       0.16 |       0.15 |       0.17 |       0.16 |       0.16 |       0.16 |       0.17
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16023 |      16942 |      15027 |      16543 |      16952 |      17017 |      16478 |      14581 |      16928 |      16044 |      15219 |      17171 |      16569 |      16232 |      16787 |      17078
    num cache misses                 |      13311 |      14674 |      12496 |      13649 |      14485 |      14688 |      14395 |      12398 |      14387 |      13217 |      12629 |      14589 |      14262 |      13446 |      14390 |      14481
    miss rate                        |     83.07% |     86.61% |     83.16% |     82.51% |     85.45% |     86.31% |     87.36% |     85.03% |     84.99% |     82.38% |     82.98% |     84.96% |     86.08% |     82.84% |     85.72% |     84.79%
    mpki                             |       0.22 |       0.24 |       0.21 |       0.23 |       0.24 |       0.24 |       0.24 |       0.21 |       0.24 |       0.22 |       0.21 |       0.24 |       0.24 |       0.22 |       0.24 |       0.24
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13349 |      14712 |      12537 |      13687 |      14523 |      14727 |      14435 |      12441 |      14424 |      13255 |      12670 |      14627 |      14300 |      13483 |      14430 |      14518
    num cache misses                 |       2722 |       2734 |       2698 |       2720 |       2745 |       2741 |       2751 |       2775 |       2752 |       2730 |       2716 |       2750 |       2738 |       2721 |       2746 |       2741
    miss rate                        |     20.39% |     18.58% |     21.52% |     19.87% |     18.90% |     18.61% |     19.06% |     22.31% |     19.08% |     20.60% |     21.44% |     18.80% |     19.15% |     20.18% |     19.03% |     18.88%
    mpki                             |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      45096 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      96.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      42.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1395 |       1413 |       1377 |       1410 |       1423 |       1409 |       1425 |       1383 |       1417 |       1406 |       1391 |       1416 |       1417 |       1403 |       1418 |       1419
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
