                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   28759933 |   28748231 |   28638081 |   28636801 |   28667048 |   28599913 |   28622040 |   28640265 |   28595728 |   28687777 |   28710123 |   28593407 |   28715710
  Cycles                             |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194 |  228310194
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900 |   85830900
  Idle time (ns)                     |        -88 |        276 |        155 |        167 |        205 |         61 |         60 |        -88 |         60 |        276 |        221 |        155 |         35
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1059439 |    1057291 |    1057266 |    1057857 |    1056548 |    1056979 |    1057335 |    1056466 |    1058261 |    1058696 |    1056421 |    1058805
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2875364 |    2866857 |    2866758 |    2869096 |    2863911 |    2865619 |    2867028 |    2863587 |    2870697 |    2872421 |    2863408 |    2872853
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
