                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |      84000 |      90543 |      82549 |      85214 |      83730 |      83505 |      81250 |      80705 |      39918 |      39993 |      89610 |      83313 |      81170 |      80637
  Cycles                             |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820 |    1268820
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.03 |       0.03 |       0.07 |       0.07 |       0.06 |       0.06
  Time (ns)                          |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000 |     477000
  Idle time (ns)                     |        189 |        -76 |        227 |        355 |        -76 |        189 |        132 |        215 |      68895 |      67355 |        132 |        275 |        215 |        335
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.1% |      -0.0% |       0.0% |       0.0% |       0.0% |      14.4% |      14.1% |       0.0% |       0.1% |       0.0% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18368 |      19646 |      18078 |      18611 |      18314 |      18270 |      17818 |      17709 |       9591 |       9603 |      19491 |      18231 |      17803 |      17696
  num incorrect                      |       1046 |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1033 |       1037 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.39% |      5.23% |      5.47% |      5.32% |      5.40% |      5.42% |      5.54% |      5.58% |      9.72% |      9.75% |      5.09% |      5.43% |      5.55% |      5.58%
  mpki                               |      12.45 |      11.98 |      12.67 |      12.27 |      12.49 |      12.53 |      12.87 |      12.96 |      25.88 |      25.93 |      11.67 |      12.56 |      12.89 |      12.97
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4766 |       4772 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         40 |         40 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.84% |      0.84% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.50 |       0.51 |       0.49 |       0.50 |       0.50 |       0.52 |       0.52 |       1.00 |       1.00 |       0.47 |       0.50 |       0.52 |       0.52
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      62112 |      69702 |      60374 |      63572 |      61794 |      61525 |      58816 |      58160 |       9517 |       9517 |      68850 |      61292 |      58724 |      58081
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.04% |      0.22% |      0.22% |      0.03% |      0.03% |      0.04% |      0.04%
    mpki                             |       0.25 |       0.23 |       0.25 |       0.25 |       0.25 |       0.25 |       0.26 |       0.26 |       0.53 |       0.53 |       0.23 |       0.25 |       0.26 |       0.26
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         61 |         61 |         63 |         63 |         63 |         63
    num misses                       |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         61 |         61 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.75 |       0.73 |       0.76 |       0.74 |       0.75 |       0.75 |       0.78 |       0.78 |       1.53 |       1.53 |       0.70 |       0.76 |       0.78 |       0.78
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4798 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4766 |       4772 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1735 |       1502 |       1714 |       1686 |       1700 |       1722 |       1746 |       1717 |       1605 |       1610 |       1711 |       1700 |       1782 |       1686
    miss rate                        |     36.16% |     30.91% |     35.72% |     35.14% |     35.43% |     35.89% |     36.39% |     35.79% |     33.68% |     33.74% |     35.66% |     35.43% |     37.14% |     35.14%
    mpki                             |      20.65 |      16.59 |      20.76 |      19.79 |      20.30 |      20.62 |      21.49 |      21.28 |      40.21 |      40.26 |      19.09 |      20.40 |      21.95 |      20.91
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      62112 |      69702 |      60374 |      63572 |      61794 |      61525 |      58816 |      58160 |       9517 |       9517 |      68850 |      61292 |      58724 |      58081
    num cache misses                 |      24076 |      23060 |      23994 |      23968 |      24111 |      24309 |      24092 |      23939 |       2584 |       2595 |      25087 |      24273 |      24188 |      24025
    miss rate                        |     38.76% |     33.08% |     39.74% |     37.70% |     39.02% |     39.51% |     40.96% |     41.16% |     27.15% |     27.27% |     36.44% |     39.60% |     41.19% |     41.36%
    mpki                             |     286.62 |     254.69 |     290.66 |     281.27 |     287.96 |     291.11 |     296.52 |     296.62 |      64.73 |      64.89 |     279.96 |     291.35 |     297.99 |     297.94
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25829 |      24585 |      25725 |      25670 |      25827 |      26047 |      25854 |      25672 |       4205 |       4222 |      26814 |      25989 |      25985 |      25728
    num cache misses                 |      25206 |      24101 |      25181 |      25071 |      25216 |      25496 |      25253 |      25126 |       3670 |       3708 |      26245 |      25422 |      25342 |      25158
    miss rate                        |     97.59% |     98.03% |     97.89% |     97.67% |     97.63% |     97.88% |     97.68% |     97.87% |     87.28% |     87.83% |     97.88% |     97.82% |     97.53% |     97.78%
    mpki                             |     300.07 |     266.18 |     305.04 |     294.21 |     301.16 |     305.32 |     310.81 |     311.33 |      91.94 |      92.72 |     292.88 |     305.14 |     312.21 |     311.99
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25224 |      24124 |      25201 |      25087 |      25232 |      25512 |      25269 |      25142 |       3686 |       3728 |      26261 |      25438 |      25357 |      25175
    num cache misses                 |        727 |        777 |        729 |        727 |        727 |        730 |        731 |        726 |        711 |        714 |        728 |        729 |        731 |        728
    miss rate                        |      2.88% |      3.22% |      2.89% |      2.90% |      2.88% |      2.86% |      2.89% |      2.89% |     19.29% |     19.15% |      2.77% |      2.87% |      2.88% |      2.89%
    mpki                             |       8.65 |       8.58 |       8.83 |       8.53 |       8.68 |       8.74 |       9.00 |       9.00 |      17.81 |      17.85 |       8.12 |       8.75 |       9.01 |       9.03
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      10433 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     132.60 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      79.17 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        193 |        205 |        199 |        195 |        195 |        206 |        201 |        192 |        196 |        200 |        200 |        198 |        203 |        192
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
