                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      90555 |      89865 |      86300 |      86110 |      88152 |      88359 |      85469 |      85831
  Cycles                             |     548226 |     548226 |     548226 |     548226 |     548226 |     548226 |     548226 |     548226
  IPC                                |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |     206100 |     206100 |     206100 |     206100 |     206100 |     206100 |     206100 |     206100
  Idle time (ns)                     |        -84 |        -84 |        -42 |        -42 |        -51 |        -60 |        -60 |         -4
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19646 |      19542 |      18829 |      18790 |      19199 |      19240 |      18663 |      18735
  num incorrect                      |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.08% |      5.26% |      5.27% |      5.17% |      5.16% |      5.31% |      5.29%
  mpki                               |      11.98 |      11.64 |      12.12 |      12.15 |      11.87 |      11.84 |      12.24 |      12.19
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.47 |       0.49 |       0.49 |       0.48 |       0.48 |       0.49 |       0.49
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      69706 |      69149 |      64876 |      64648 |      67099 |      67343 |      63877 |      64317
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.24 |       0.24 |       0.24 |       0.24 |       0.25 |       0.24
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.70 |       0.73 |       0.73 |       0.71 |       0.71 |       0.74 |       0.73
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1460 |       1539 |       1568 |       1523 |       1556 |       1493 |       1562 |       1527
    miss rate                        |     30.05% |     32.08% |     32.68% |     31.74% |     32.43% |     31.12% |     32.56% |     31.83%
    mpki                             |      16.12 |      17.13 |      18.17 |      17.69 |      17.65 |      16.90 |      18.28 |      17.79
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      69706 |      69149 |      64876 |      64648 |      67099 |      67343 |      63877 |      64317
    num cache misses                 |       1168 |       1224 |       1208 |       1189 |       1245 |       1200 |       1243 |       1190
    miss rate                        |      1.68% |      1.77% |      1.86% |      1.84% |      1.86% |      1.78% |      1.95% |      1.85%
    mpki                             |      12.90 |      13.62 |      14.00 |      13.81 |      14.12 |      13.58 |      14.54 |      13.86
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2647 |       2780 |       2793 |       2729 |       2817 |       2709 |       2822 |       2734
    num cache misses                 |       1023 |       1030 |       1043 |       1024 |       1035 |       1020 |       1040 |       1009
    miss rate                        |     38.65% |     37.05% |     37.34% |     37.52% |     36.74% |     37.65% |     36.85% |     36.91%
    mpki                             |      11.30 |      11.46 |      12.09 |      11.89 |      11.74 |      11.54 |      12.17 |      11.76
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1045 |       1050 |       1063 |       1044 |       1055 |       1039 |       1060 |       1029
    num cache misses                 |        761 |        712 |        712 |        712 |        712 |        712 |        712 |        712
    miss rate                        |     72.82% |     67.81% |     66.98% |     68.20% |     67.49% |     68.53% |     67.17% |     69.19%
    mpki                             |       8.40 |       7.92 |       8.25 |       8.27 |       8.08 |       8.06 |       8.33 |       8.30
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       5745 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     107.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      54.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     23.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        177 |        167 |        167 |        168 |        166 |        166 |        168 |        165
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
