                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   78256677 |   78256476 |   78256484
  Cycles                             |  172114236 |  172114236 |  172114236
  IPC                                |       0.45 |       0.45 |       0.45
  Time (ns)                          |   64704600 |   64704600 |   64704600
  Idle time (ns)                     |       -612 |       -612 |       1798
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |    2171907 |    2171876 |    2171884
  num incorrect                      |       1022 |        991 |       1001
  misprediction rate                 |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    8525013 |    8524962 |    8524983
    num misses                       |         43 |         40 |         41
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   36055604 |   36055508 |   36055554
    num misses                       |         71 |         70 |         71
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        114 |        110 |        112
    num misses                       |        112 |        109 |        110
    miss rate                        |     98.25% |     99.09% |     98.21%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    8525013 |    8524962 |    8524983
    num cache misses                 |      10352 |      10344 |      10351
    miss rate                        |      0.12% |      0.12% |      0.12%
    mpki                             |       0.13 |       0.13 |       0.13
  Cache L1-D                         |            |            |           
    num cache accesses               |   36055604 |   36055508 |   36055554
    num cache misses                 |    2126187 |    2126194 |    2126214
    miss rate                        |      5.90% |      5.90% |      5.90%
    mpki                             |      27.17 |      27.17 |      27.17
  Cache L2                           |            |            |           
    num cache accesses               |    2136558 |    2136554 |    2136583
    num cache misses                 |      95296 |      95256 |      95144
    miss rate                        |      4.46% |      4.46% |      4.45%
    mpki                             |       1.22 |       1.22 |       1.22
  Cache L3                           |            |            |           
    num cache accesses               |      95316 |      95273 |      95163
    num cache misses                 |       3825 |       3783 |       3796
    miss rate                        |      4.01% |      3.97% |      3.99%
    mpki                             |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |           
  num dram accesses                  |      11404 |          0 |          0
  average dram access latency (ns)   |      59.09 |        inf |        inf
  average dram queueing delay        |       5.66 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1175 |       1166 |       1154
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
