                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |  107743520 |  107123514 |  108033151
  Cycles                             |  112582904 |  112582904 |  112582904
  IPC                                |       0.96 |       0.95 |       0.96
  Time (ns)                          |   42324400 |   42324400 |   42324400
  Idle time (ns)                     |         86 |         -2 |         -2
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   17049167 |   16956192 |   17101784
  num incorrect                      |     280300 |     279217 |     281892
  misprediction rate                 |      1.62% |      1.62% |      1.62%
  mpki                               |       2.60 |       2.61 |       2.61
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |   16619217 |   16514298 |   16653068
    num misses                       |        138 |        138 |        152
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   39109430 |   38880964 |   39205539
    num misses                       |       1034 |       1033 |       1052
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |           
    num accesses                     |       1172 |       1171 |       1204
    num misses                       |        354 |        354 |        363
    miss rate                        |     30.20% |     30.23% |     30.15%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |   16619217 |   16514298 |   16653068
    num cache misses                 |     897204 |     838079 |     887802
    miss rate                        |      5.40% |      5.07% |      5.33%
    mpki                             |       8.33 |       7.82 |       8.22
  Cache L1-D                         |            |            |           
    num cache accesses               |   39109430 |   38880964 |   39205539
    num cache misses                 |     389354 |     378519 |     387655
    miss rate                        |      1.00% |      0.97% |      0.99%
    mpki                             |       3.61 |       3.53 |       3.59
  Cache L2                           |            |            |           
    num cache accesses               |    1287115 |    1217156 |    1276027
    num cache misses                 |     174961 |     172884 |     172999
    miss rate                        |     13.59% |     14.20% |     13.56%
    mpki                             |       1.62 |       1.61 |       1.60
  Cache L3                           |            |            |           
    num cache accesses               |     175525 |     173450 |     173575
    num cache misses                 |      10461 |      10461 |      10579
    miss rate                        |      5.96% |      6.03% |      6.09%
    mpki                             |       0.10 |       0.10 |       0.10
DRAM summary                         |            |            |           
  num dram accesses                  |      31501 |          0 |          0
  average dram access latency (ns)   |      61.95 |        inf |        inf
  average dram queueing delay        |       8.52 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       5129 |       4612 |       4565
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
