                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   28759913 |   28673078 |   28597695 |   28560734 |   28600029 |   28665391
  Cycles                             |   73080042 |   73080042 |   73080042 |   73080042 |   73080042 |   73080042
  IPC                                |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39
  Time (ns)                          |   27473700 |   27473700 |   27473700 |   27473700 |   27473700 |   27473700
  Idle time (ns)                     |        -10 |         55 |         33 |         28 |        -13 |        -10
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1059719 |    1057975 |    1056504 |    1055784 |    1056548 |    1057823
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2876325 |    2869562 |    2863739 |    2860885 |    2863911 |    2868966
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   15778122 |   15733050 |   15693873 |   15674664 |   15695028 |   15729047
    num misses                       |       6344 |       6145 |       5981 |       5895 |       5986 |       6125
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6407 |       6206 |       6042 |       5956 |       6047 |       6186
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.09% |      5.23% |      5.31% |      5.23% |      5.11%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2869562 |    2863739 |    2860885 |    2863911 |    2868966
    num cache misses                 |    1125567 |    1137547 |    1155293 |    1162270 |    1159567 |    1143204
    miss rate                        |     39.13% |     39.64% |     40.34% |     40.63% |     40.49% |     39.85%
    mpki                             |      39.14 |      39.67 |      40.40 |      40.69 |      40.54 |      39.88
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   15778122 |   15733050 |   15693873 |   15674664 |   15695028 |   15729047
    num cache misses                 |     131297 |     132999 |     131266 |     131227 |     132162 |     133066
    miss rate                        |      0.83% |      0.85% |      0.84% |      0.84% |      0.84% |      0.85%
    mpki                             |       4.57 |       4.64 |       4.59 |       4.59 |       4.62 |       4.64
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    1256911 |    1270610 |    1286624 |    1293558 |    1291791 |    1276374
    num cache misses                 |     110939 |     111687 |     110897 |     111312 |     111711 |     111925
    miss rate                        |      8.83% |      8.79% |      8.62% |      8.61% |      8.65% |      8.77%
    mpki                             |       3.86 |       3.90 |       3.88 |       3.90 |       3.91 |       3.90
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     110997 |     111758 |     110966 |     111378 |     111778 |     112034
    num cache misses                 |      14739 |      14590 |      14563 |      14574 |      14545 |      14543
    miss rate                        |     13.28% |     13.05% |     13.12% |     13.09% |     13.01% |     12.98%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      92134 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.44 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6518 |       6506 |       6469 |       6461 |       6472 |       6441
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
