                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    6728489 |    6728743 |    6728418
  Cycles                             |    8448692 |    8448692 |    8448692
  IPC                                |       0.80 |       0.80 |       0.80
  Time (ns)                          |    3176200 |    3176200 |    3176200
  Idle time (ns)                     |        -90 |       -126 |        -90
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     259648 |     259678 |     259637
  num incorrect                      |       3935 |       3961 |       3934
  misprediction rate                 |      1.49% |      1.50% |      1.49%
  mpki                               |       0.58 |       0.59 |       0.58
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |     680594 |     680639 |     680582
    num misses                       |         60 |         62 |         60
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |           
    num accesses                     |    3650123 |    3650208 |    3650089
    num misses                       |        107 |        107 |        104
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |           
    num accesses                     |        167 |        169 |        164
    num misses                       |        146 |        147 |        146
    miss rate                        |     87.43% |     86.98% |     89.02%
    mpki                             |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |     680594 |     680639 |     680582
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |    3650123 |    3650208 |    3650089
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
