                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |    9892921 |    9892921 |    9875510 |    9873800 |    9866065 |    9872491 |    9893102
  Cycles                             |   29800246 |   29800246 |   29800246 |   29800246 |   29800246 |   29800246 |   29800246
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   11203100 |   11203100 |   11203100 |   11203100 |   11203100 |   11203100 |   11203100
  Idle time (ns)                     |         27 |        396 |         -0 |        -25 |        -67 |         14 |        -67
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |     287342 |     287342 |     286851 |     286805 |     286589 |     286768 |     287362
  num incorrect                      |       1000 |       1000 |        974 |        974 |        974 |        974 |       1015
  misprediction rate                 |      0.35% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    1086205 |    1086205 |    1084291 |    1084106 |    1083259 |    1083962 |    1086228
    num misses                       |         42 |         42 |         40 |         40 |         40 |         40 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    4564565 |    4564529 |    4556567 |    4555779 |    4552221 |    4555176 |    4564608
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |         74 |         74 |         72 |         72 |         72 |         72 |         75
    num misses                       |         74 |         74 |         72 |         72 |         72 |         72 |         75
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    1086205 |    1086205 |    1084291 |    1084106 |    1083259 |    1083962 |    1086228
    num cache misses                 |     355555 |     356213 |     353639 |     352018 |     350913 |     350863 |     350824
    miss rate                        |     32.73% |     32.79% |     32.61% |     32.47% |     32.39% |     32.37% |     32.30%
    mpki                             |      35.94 |      36.01 |      35.81 |      35.65 |      35.57 |      35.54 |      35.46
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |    4564565 |    4564529 |    4556567 |    4555779 |    4552221 |    4555176 |    4564608
    num cache misses                 |     349404 |     348157 |     353827 |     347881 |     320712 |     353670 |     351178
    miss rate                        |      7.65% |      7.63% |      7.77% |      7.64% |      7.05% |      7.76% |      7.69%
    mpki                             |      35.32 |      35.19 |      35.83 |      35.23 |      32.51 |      35.82 |      35.50
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |     704976 |     704384 |     707480 |     699914 |     671639 |     704547 |     702019
    num cache misses                 |      18634 |      18492 |      18350 |      17960 |      17480 |      17830 |      18410
    miss rate                        |      2.64% |      2.63% |      2.59% |      2.57% |      2.60% |      2.53% |      2.62%
    mpki                             |       1.88 |       1.87 |       1.86 |       1.82 |       1.77 |       1.81 |       1.86
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |      18654 |      18509 |      18367 |      17978 |      17497 |      17847 |      18430
    num cache misses                 |       1501 |       1501 |       1476 |       1476 |       1476 |       1476 |       1525
    miss rate                        |      8.05% |      8.11% |      8.04% |      8.21% |      8.44% |      8.27% |      8.27%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      10431 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      76.70 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      23.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |        369 |        368 |        340 |        341 |        336 |        325 |        378
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
