                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28734756 |   28732510 |   28746137 |   28759989 |   28731899 |   28746458 |   28735621 |   28758811 |   28732130
  Cycles                             |  107814588 |  107814588 |  107814588 |  107814588 |  107814588 |  107814588 |  107814588 |  107814588 |  107814588
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   40531800 |   40531800 |   40531800 |   40531800 |   40531800 |   40531800 |   40531800 |   40531800 |   40531800
  Idle time (ns)                     |         62 |         33 |        107 |        -16 |        -16 |         37 |         40 |         33 |         13
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1059176 |    1059133 |    1059399 |    1059719 |    1059120 |    1059405 |    1059193 |    1059644 |    1059124
  num incorrect                      |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2874323 |    2874151 |    2875204 |    2876325 |    2874102 |    2875228 |    2874391 |    2876180 |    2874120
    num misses                       |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   15765103 |   15763936 |   15771026 |   15778153 |   15763607 |   15771187 |   15765557 |   15777605 |   15763739
    num misses                       |       6276 |       6269 |       6303 |       6344 |       6268 |       6304 |       6277 |       6330 |       6268
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |       6337 |       6330 |       6364 |       6407 |       6329 |       6365 |       6338 |       6391 |       6329
    num misses                       |        320 |        319 |        321 |        333 |        319 |        321 |        320 |        321 |        319
    miss rate                        |      5.05% |      5.04% |      5.04% |      5.20% |      5.04% |      5.04% |      5.05% |      5.02% |      5.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2874323 |    2874151 |    2875204 |    2876325 |    2874102 |    2875228 |    2874391 |    2876180 |    2874120
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15765103 |   15763936 |   15771026 |   15778153 |   15763607 |   15771187 |   15765557 |   15777605 |   15763739
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
