                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   99666688 |  108033172 |  105210069 |   99511468 |  104206663 |   99426936 |  107094434 |  102529483 |  100981821 |  100220183 |  106270109 |  100038489 |  100241635 |   99831508
  Cycles                             |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772 |  472453772
  IPC                                |       0.21 |       0.23 |       0.22 |       0.21 |       0.22 |       0.21 |       0.23 |       0.22 |       0.21 |       0.21 |       0.22 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200 |  177614200
  Idle time (ns)                     |        -44 |        -72 |        -72 |          8 |         57 |         -8 |         57 |        186 |        -44 |        108 |        -17 |        119 |         57 |         66
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   15738891 |   17101784 |   16649288 |   15713456 |   16484499 |   15699458 |   16951005 |   16209000 |   15954920 |   15829840 |   16821888 |   15799989 |   15833328 |   15765996
  num incorrect                      |     254924 |     281892 |     273030 |     254418 |     269718 |     254141 |     279068 |     264221 |     259190 |     256724 |     276595 |     256136 |     256790 |     255465
  misprediction rate                 |      1.59% |      1.62% |      1.61% |      1.59% |      1.61% |      1.59% |      1.62% |      1.60% |      1.60% |      1.60% |      1.62% |      1.60% |      1.60% |      1.59%
  mpki                               |       2.56 |       2.61 |       2.60 |       2.56 |       2.59 |       2.56 |       2.61 |       2.58 |       2.57 |       2.56 |       2.60 |       2.56 |       2.56 |       2.56
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15385500 |   16653068 |   16221455 |   15362194 |   16070338 |   15349473 |   16510354 |   15817398 |   15583880 |   15468942 |   16383063 |   15441592 |   15472177 |   15410392
    num misses                       |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
