                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |      90519 |      87804 |      90269 |      88331 |      88079 |      86934
  Cycles                             |     477204 |     477204 |     477204 |     477204 |     477204 |     477204
  IPC                                |       0.19 |       0.18 |       0.19 |       0.19 |       0.18 |       0.18
  Time (ns)                          |     179400 |     179400 |     179400 |     179400 |     179400 |     179400
  Idle time (ns)                     |        -91 |        -45 |        152 |        -30 |        -45 |        -91
  Idle time (%)                      |      -0.1% |      -0.0% |       0.1% |      -0.0% |      -0.0% |      -0.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      19646 |      19129 |      19615 |      19235 |      19185 |      18955
  num incorrect                      |       1085 |       1046 |       1056 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.18% |      5.11% |      5.16% |      5.17% |      5.23%
  mpki                               |      11.99 |      11.91 |      11.70 |      11.84 |      11.88 |      12.03
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |       4859 |       4798 |       4813 |       4798 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.88% |      0.87% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.48 |       0.47 |       0.48 |       0.48 |       0.48
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      69692 |      66680 |      69600 |      67317 |      67014 |      65625
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.24 |       0.23 |       0.24 |       0.24 |       0.24
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.72 |       0.70 |       0.71 |       0.72 |       0.72
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |       4859 |       4798 |       4813 |       4798 |       4798 |       4798
    num cache misses                 |       1345 |       1404 |       1353 |       1438 |       1448 |       1370
    miss rate                        |     27.68% |     29.26% |     28.11% |     29.97% |     30.18% |     28.55%
    mpki                             |      14.86 |      15.99 |      14.99 |      16.28 |      16.44 |      15.76
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      69692 |      66680 |      69600 |      67317 |      67014 |      65625
    num cache misses                 |        966 |        984 |        990 |       1004 |       1030 |        984
    miss rate                        |      1.39% |      1.48% |      1.42% |      1.49% |      1.54% |      1.50%
    mpki                             |      10.67 |      11.21 |      10.97 |      11.37 |      11.69 |      11.32
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       2330 |       2405 |       2359 |       2459 |       2495 |       2371
    num cache misses                 |        947 |        921 |        927 |        925 |        927 |        921
    miss rate                        |     40.64% |     38.30% |     39.30% |     37.62% |     37.15% |     38.84%
    mpki                             |      10.46 |      10.49 |      10.27 |      10.47 |      10.52 |      10.59
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |        968 |        940 |        946 |        944 |        946 |        940
    num cache misses                 |        756 |        712 |        723 |        712 |        712 |        712
    miss rate                        |     78.10% |     75.74% |     76.43% |     75.42% |     75.26% |     75.74%
    mpki                             |       8.35 |       8.11 |       8.01 |       8.06 |       8.08 |       8.19
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       4327 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      95.16 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      41.73 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     20.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |        172 |        162 |        165 |        165 |        163 |        165
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
