                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |     121651 |     120459 |     121187 |     119263 |     120595
  Cycles                             |     742140 |     742140 |     742140 |     742140 |     742140
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |     279000 |     279000 |     279000 |     279000 |     279000
  Idle time (ns)                     |       -442 |        225 |       -442 |       -382 |         -2
  Idle time (%)                      |      -0.2% |       0.1% |      -0.2% |      -0.1% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |      22023 |      21915 |      21973 |      21673 |      21921
  num incorrect                      |       1503 |       1417 |       1458 |       1369 |       1424
  misprediction rate                 |      6.39% |      6.07% |      6.22% |      5.94% |      6.10%
  mpki                               |      12.36 |      11.76 |      12.03 |      11.48 |      11.81
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15330 |      15129 |      15244 |      15027 |      15146
    num misses                       |         52 |         46 |         49 |         45 |         47
    miss rate                        |      0.34% |      0.30% |      0.32% |      0.30% |      0.31%
    mpki                             |       0.43 |       0.38 |       0.40 |       0.38 |       0.39
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40216 |      39697 |      39990 |      39568 |      39785
    num misses                       |        118 |        116 |        117 |        116 |        117
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.96 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        170 |        162 |        166 |        161 |        164
    num misses                       |        121 |        114 |        117 |        114 |        115
    miss rate                        |     71.18% |     70.37% |     70.48% |     70.81% |     70.12%
    mpki                             |       0.99 |       0.95 |       0.97 |       0.96 |       0.95
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15330 |      15129 |      15244 |      15027 |      15146
    num cache misses                 |       3278 |       3368 |       3376 |       3365 |       3534
    miss rate                        |     21.38% |     22.26% |     22.15% |     22.39% |     23.33%
    mpki                             |      26.95 |      27.96 |      27.86 |      28.21 |      29.30
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40216 |      39697 |      39990 |      39568 |      39785
    num cache misses                 |       3601 |       3668 |       3683 |       3614 |       3734
    miss rate                        |      8.95% |      9.24% |      9.21% |      9.13% |      9.39%
    mpki                             |      29.60 |      30.45 |      30.39 |      30.30 |      30.96
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6914 |       7067 |       7092 |       7009 |       7301
    num cache misses                 |       3385 |       3256 |       3327 |       3247 |       3300
    miss rate                        |     48.96% |     46.07% |     46.91% |     46.33% |     45.20%
    mpki                             |      27.83 |      27.03 |      27.45 |      27.23 |      27.36
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3421 |       3290 |       3362 |       3281 |       3335
    num cache misses                 |       2475 |       2383 |       2431 |       2365 |       2400
    miss rate                        |     72.35% |     72.43% |     72.31% |     72.08% |     71.96%
    mpki                             |      20.35 |      19.78 |      20.06 |      19.83 |      19.90
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12054 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      70.33 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      16.90 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     36.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1143 |       1133 |       1139 |       1134 |       1140
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
