                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   50121633 |   50118562 |   50120880 |   50118413 |   50113485 |   50114256
  Cycles                             |  240580242 |  240580242 |  240580242 |  240580242 |  240580242 |  240580242
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   90443700 |   90443700 |   90443700 |   90443700 |   90443700 |   90443700
  Idle time (ns)                     |        -44 |        -44 |        386 |          2 |         19 |          2
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022009 |   10021475 |   10021928 |   10021445 |   10020459 |   10020615
  num incorrect                      |       1517 |       1441 |       1453 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15334 |      15165 |      15187 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         49 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   60040200 |   60037213 |   60039914 |   60037022 |   60031119 |   60032051
    num misses                       |        128 |        126 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        180 |        174 |        175 |        174 |        174 |        174
    num misses                       |        121 |        116 |        117 |        116 |        116 |        116
    miss rate                        |     67.22% |     66.67% |     66.86% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15187 |      15165 |      15165 |      15165
    num cache misses                 |       4629 |       4463 |       4456 |       4492 |       4149 |       4297
    miss rate                        |     30.19% |     29.43% |     29.34% |     29.62% |     27.36% |     28.33%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   60040200 |   60037213 |   60039914 |   60037022 |   60031119 |   60032051
    num cache misses                 |       3973 |       3867 |       3904 |       3887 |       3650 |       3717
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8637 |       8366 |       8393 |       8414 |       7835 |       8050
    num cache misses                 |       3477 |       3388 |       3427 |       3389 |       3336 |       3351
    miss rate                        |     40.26% |     40.50% |     40.83% |     40.28% |     42.58% |     41.63%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3516 |       3427 |       3464 |       3427 |       3373 |       3388
    num cache misses                 |       2477 |       2426 |       2428 |       2425 |       2427 |       2427
    miss rate                        |     70.45% |     70.79% |     70.09% |     70.76% |     71.95% |     71.64%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14636 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.45 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1145 |       1147 |       1136 |       1151 |       1149 |       1150
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
