                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121476 |   60121401 |   60121702
  Cycles                             |   60113872 |   60113872 |   60113872
  IPC                                |       1.00 |       1.00 |       1.00
  Time (ns)                          |   22599200 |   22599200 |   22599200
  Idle time (ns)                     |        -62 |        -22 |        -73
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021990 |   10021985 |   10022009
  num incorrect                      |       1500 |       1496 |       1517
  misprediction rate                 |      0.01% |      0.01% |      0.02%
  mpki                               |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15302 |      15289 |      15333
    num misses                       |         51 |         50 |         52
    miss rate                        |      0.33% |      0.33% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40188 |      40151 |      40250
    num misses                       |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        127 |        126 |        128
    num misses                       |        122 |        121 |        123
    miss rate                        |     96.06% |     96.03% |     96.09%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15302 |      15289 |      15333
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |      40188 |      40151 |      40250
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
