                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12    
  Instructions                       |    70121735 |    70096909 |    70104654 |    70101542 |    70107059 |    70121655 |    70100965 |    70115193 |    70101265 |    70101417 |    70100853 |    70106912 |    70100275
  Cycles                             |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968 |  1085345968
  IPC                                |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06
  Time (ns)                          |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800 |   408024800
  Idle time (ns)                     |         -25 |          50 |          50 |         -25 |         190 |        1404 |          41 |         287 |         174 |         152 |          84 |         152 |          41
  Idle time (%)                      |       -0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10022008 |    10018497 |    10019603 |    10019158 |    10019947 |    10022003 |    10019076 |    10021108 |    10019119 |    10019141 |    10019060 |    10019926 |    10018978
  num incorrect                      |        1519 |        1443 |        1443 |        1443 |        1443 |        1514 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443
  misprediction rate                 |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15340 |       15171 |       15171 |       15171 |       15171 |       15332 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171
    num misses                       |          52 |          48 |          48 |          48 |          48 |          51 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.33% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60040247 |    60019371 |    60026020 |    60023330 |    60028080 |    60040250 |    60022855 |    60035050 |    60023112 |    60023246 |    60022761 |    60027955 |    60022264
    num misses                       |          80 |          79 |          79 |          79 |          79 |          80 |          79 |          79 |          79 |          79 |          79 |          79 |          79
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         132 |         127 |         127 |         127 |         127 |         131 |         127 |         127 |         127 |         127 |         127 |         127 |         127
    num misses                       |         121 |         116 |         116 |         116 |         116 |         120 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      91.67% |      91.34% |      91.34% |      91.34% |      91.34% |      91.60% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15340 |       15171 |       15171 |       15171 |       15171 |       15332 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171
    num cache misses                 |        5991 |        6357 |        6123 |        6222 |        6425 |        5666 |        6187 |        6163 |        6390 |        6270 |        6325 |        6009 |        6379
    miss rate                        |      39.05% |      41.90% |      40.36% |      41.01% |      42.35% |      36.96% |      40.78% |      40.62% |      42.12% |      41.33% |      41.69% |      39.61% |      42.05%
    mpki                             |        0.09 |        0.09 |        0.09 |        0.09 |        0.09 |        0.08 |        0.09 |        0.09 |        0.09 |        0.09 |        0.09 |        0.09 |        0.09
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60040247 |    60019371 |    60026020 |    60023330 |    60028080 |    60040250 |    60022855 |    60035050 |    60023112 |    60023246 |    60022761 |    60027955 |    60022264
    num cache misses                 |    25276978 |    25275891 |    25277059 |    25278208 |    25277718 |    25273795 |    25274421 |    25278269 |    25275965 |    25276526 |    25276646 |    25277446 |    25276363
    miss rate                        |      42.10% |      42.11% |      42.11% |      42.11% |      42.11% |      42.09% |      42.11% |      42.11% |      42.11% |      42.11% |      42.11% |      42.11% |      42.11%
    mpki                             |      360.47 |      360.58 |      360.56 |      360.59 |      360.56 |      360.43 |      360.54 |      360.52 |      360.56 |      360.57 |      360.58 |      360.56 |      360.57
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    25283008 |    25282286 |    25283218 |    25284465 |    25284180 |    25279499 |    25280646 |    25284470 |    25282389 |    25282832 |    25283007 |    25283491 |    25282776
    num cache misses                 |    25280806 |    25279708 |    25281024 |    25282323 |    25281864 |    25277376 |    25278303 |    25282327 |    25279735 |    25280637 |    25280492 |    25281368 |    25280138
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      360.53 |      360.64 |      360.62 |      360.65 |      360.62 |      360.48 |      360.60 |      360.58 |      360.62 |      360.63 |      360.63 |      360.61 |      360.63
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    25280846 |    25279746 |    25281062 |    25282360 |    25281901 |    25277415 |    25278342 |    25282367 |    25279772 |    25280676 |    25280528 |    25281405 |    25280174
    num cache misses                 |        2586 |        2515 |        2510 |        2516 |        2513 |        2569 |        2516 |        2515 |        2519 |        2526 |        2516 |        2509 |        2515
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       33514 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       98.96 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       45.53 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        1217 |        1220 |        1217 |        1226 |        1224 |        1207 |        1232 |        1225 |        1224 |        1232 |        1226 |        1215 |        1227
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
