                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   28732408 |   28725985 |   28757682 |   28731730 |   28759933 |   28759672 |   28720624 |   28711059
  Cycles                             |  104204702 |  104204702 |  104204702 |  104204702 |  104204702 |  104204702 |  104204702 |  104204702
  IPC                                |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  Time (ns)                          |   39174700 |   39174700 |   39174700 |   39174700 |   39174700 |   39174700 |   39174700 |   39174700
  Idle time (ns)                     |        -27 |         -9 |        -27 |        -50 |       -122 |        467 |        -50 |       -122
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1059130 |    1059006 |    1059623 |    1059117 |    1059719 |    1059693 |    1058901 |    1058714
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       8006 |       7980 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2874141 |    2873647 |    2876094 |    2874090 |    2876325 |    2876285 |    2873233 |    2872494
    num misses                       |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   15763878 |   15760549 |   15777021 |   15763536 |   15778126 |   15778022 |   15757761 |   15752773
    num misses                       |       6269 |       6257 |       6328 |       6268 |       6344 |       6342 |       6242 |       6223
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       6330 |       6318 |       6389 |       6329 |       6407 |       6403 |       6303 |       6284
    num misses                       |        319 |        319 |        321 |        319 |        333 |        329 |        319 |        318
    miss rate                        |      5.04% |      5.05% |      5.02% |      5.04% |      5.20% |      5.14% |      5.06% |      5.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2874141 |    2873647 |    2876094 |    2874090 |    2876325 |    2876285 |    2873233 |    2872494
    num cache misses                 |    1315855 |    1319575 |    1315133 |    1312692 |    1307019 |    1310454 |    1320665 |    1312355
    miss rate                        |     45.78% |     45.92% |     45.73% |     45.67% |     45.44% |     45.56% |     45.96% |     45.69%
    mpki                             |      45.80 |      45.94 |      45.73 |      45.69 |      45.45 |      45.57 |      45.98 |      45.71
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   15763878 |   15760549 |   15777021 |   15763536 |   15778126 |   15778022 |   15757761 |   15752773
    num cache misses                 |     283137 |     284037 |     283246 |     283260 |     276689 |     280903 |     284307 |     282730
    miss rate                        |      1.80% |      1.80% |      1.80% |      1.80% |      1.75% |      1.78% |      1.80% |      1.79%
    mpki                             |       9.85 |       9.89 |       9.85 |       9.86 |       9.62 |       9.77 |       9.90 |       9.85
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1599055 |    1603674 |    1598443 |    1596015 |    1583779 |    1591428 |    1605037 |    1595147
    num cache misses                 |     172477 |     174658 |     174506 |     172463 |     171392 |     172458 |     174160 |     175791
    miss rate                        |     10.79% |     10.89% |     10.92% |     10.81% |     10.82% |     10.84% |     10.85% |     11.02%
    mpki                             |       6.00 |       6.08 |       6.07 |       6.00 |       5.96 |       6.00 |       6.06 |       6.12
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     172545 |     174723 |     174576 |     172535 |     171472 |     172533 |     174228 |     175856
    num cache misses                 |      14666 |      14659 |      14667 |      14697 |      14786 |      14725 |      14662 |      14647
    miss rate                        |      8.50% |      8.39% |      8.40% |      8.52% |      8.62% |      8.53% |      8.42% |      8.33%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     124855 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.84 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       9554 |       9564 |       9572 |       9571 |       9613 |       9584 |       9560 |       9560
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
