                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28759901 |   28712802 |   28625585 |   28572377 |   28395764 |   28377820 |   28338360 |   28327796 |   28480019
  Cycles                             |  123871678 |  123871678 |  123871678 |  123871678 |  123871678 |  123871678 |  123871678 |  123871678 |  123871678
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   46568300 |   46568300 |   46568300 |   46568300 |   46568300 |   46568300 |   46568300 |   46568300 |   46568300
  Idle time (ns)                     |        -54 |        -54 |        101 |         61 |         82 |        -54 |         43 |        101 |         53
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1058749 |    1057047 |    1056010 |    1052568 |    1052218 |    1051448 |    1051244 |    1054211
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2872629 |    2865892 |    2861783 |    2848146 |    2846759 |    2843711 |    2842898 |    2854653
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
