                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   40114512 |   40112212 |   40110904 |   40107421 |   40103753 |   40121619 |   40104493 |   40103028
  Cycles                             |  107491132 |  107491132 |  107491132 |  107491132 |  107491132 |  107491132 |  107491132 |  107491132
  IPC                                |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37
  Time (ns)                          |   40410200 |   40410200 |   40410200 |   40410200 |   40410200 |   40410200 |   40410200 |   40410200
  Idle time (ns)                     |        -75 |         29 |         -3 |        -20 |          6 |        -75 |          1 |        -75
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10020369 |   10019794 |   10019468 |   10018598 |   10017682 |   10022008 |   10017865 |   10017499
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165
    num misses                       |         48 |         48 |         48 |         48 |         48 |         52 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      39839 |      39839 |      39839 |      39839 |      39839 |      40201 |      39839 |      39839
    num misses                       |         75 |         75 |         75 |         75 |         75 |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        123 |        123 |        123 |        123 |        128 |        123 |        123
    num misses                       |        116 |        116 |        116 |        116 |        116 |        121 |        116 |        116
    miss rate                        |     94.31% |     94.31% |     94.31% |     94.31% |     94.31% |     94.53% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15165 |      15165 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165
    num cache misses                 |       5547 |       5625 |       5797 |       5815 |       5561 |       5335 |       5389 |       5391
    miss rate                        |     36.58% |     37.09% |     38.23% |     38.34% |     36.67% |     34.79% |     35.54% |     35.55%
    mpki                             |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.13 |       0.13 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      39839 |      39839 |      39839 |      39839 |      39839 |      40201 |      39839 |      39839
    num cache misses                 |       5205 |       5214 |       5187 |       5178 |       5224 |       5018 |       5157 |       5145
    miss rate                        |     13.07% |     13.09% |     13.02% |     13.00% |     13.11% |     12.48% |     12.94% |     12.91%
    mpki                             |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10781 |      10867 |      11014 |      11022 |      10816 |      10385 |      10575 |      10566
    num cache misses                 |       4031 |       4034 |       4030 |       4035 |       4050 |       4039 |       4023 |       4025
    miss rate                        |     37.39% |     37.12% |     36.59% |     36.61% |     37.44% |     38.89% |     38.04% |     38.09%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4065 |       4068 |       4064 |       4069 |       4084 |       4075 |       4057 |       4060
    num cache misses                 |       2414 |       2415 |       2414 |       2414 |       2414 |       2481 |       2414 |       2414
    miss rate                        |     59.38% |     59.37% |     59.40% |     59.33% |     59.11% |     60.88% |     59.50% |     59.46%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19396 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      78.21 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      24.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1137 |       1139 |       1138 |       1144 |       1140 |       1145 |       1139 |       1140
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
