                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14    
  Instructions                       |    50100020 |    50101392 |    50099095 |    50101250 |    50121585 |    50118542 |    50100643 |    50116543 |    50107666 |    50099913 |    50094062 |    50121665 |    50121196 |    50105302 |    50106043
  Cycles                             |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300 |  1568083300
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000 |   589505000
  Idle time (ns)                     |         297 |         230 |         218 |         -82 |        2256 |         218 |         297 |         287 |          25 |         115 |        -205 |        -205 |         206 |         -82 |         115
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |       -0.0% |        0.0% |       -0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10017766 |    10018040 |    10017581 |    10018011 |    10022006 |    10021470 |    10017891 |    10021071 |    10019295 |    10017744 |    10016574 |    10022009 |    10021959 |    10018823 |    10018971
  num incorrect                      |        1441 |        1441 |        1441 |        1441 |        1513 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1517 |        1473 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15165 |       15165 |       15328 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15334 |       15250 |       15165 |       15165
    num misses                       |          48 |          48 |          48 |          48 |          51 |          48 |          48 |          48 |          48 |          48 |          48 |          52 |          49 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.33% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60014959 |    60016593 |    60013849 |    60016431 |    60040216 |    60037185 |    60015708 |    60034785 |    60024135 |    60014829 |    60007807 |    60040219 |    60040038 |    60021297 |    60022186
    num misses                       |         126 |         126 |         126 |         126 |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         128 |         127 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
