                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |      80970 |      79192 |      79575 |      81790 |      68102 |      88510 |      90555 |      86834 |      85269 |      83880 |      39993 |      89125 |      83370
  Cycles                             |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778 |    1072778
  IPC                                |       0.08 |       0.07 |       0.07 |       0.08 |       0.06 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.04 |       0.08 |       0.08
  Time (ns)                          |     403300 |     403300 |     403300 |     403300 |     403300 |     403300 |     403300 |     403300 |     403300 |     403300 |     403300 |     403300 |     403300
  Idle time (ns)                     |        164 |         87 |         24 |          6 |        119 |         32 |        -83 |         24 |        -83 |        164 |     153664 |        117 |          6
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      38.1% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      17763 |      17407 |      17483 |      17926 |      15189 |      19271 |      19646 |      18935 |      18622 |      18345 |       9603 |      19394 |      18242
  num incorrect                      |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1085 |       1046 |       1046 |       1046 |       1037 |       1046 |       1046
  misprediction rate                 |      5.56% |      5.67% |      5.65% |      5.51% |      6.44% |      5.15% |      5.23% |      5.23% |      5.32% |      5.39% |      9.75% |      5.12% |      5.42%
  mpki                               |      12.92 |      13.21 |      13.14 |      12.79 |      15.36 |      11.82 |      11.98 |      12.05 |      12.27 |      12.47 |      25.93 |      11.74 |      12.55
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4859 |       4798 |       4798 |       4798 |       4772 |       4798 |       4798
    num misses                       |         42 |         42 |         42 |         42 |         42 |         42 |         45 |         42 |         42 |         42 |         40 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.93% |      0.88% |      0.88% |      0.88% |      0.84% |      0.88% |      0.88%
    mpki                             |       0.52 |       0.53 |       0.53 |       0.51 |       0.62 |       0.47 |       0.50 |       0.48 |       0.49 |       0.50 |       1.00 |       0.47 |       0.50
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      58481 |      56348 |      56800 |      59462 |      43040 |      67530 |      69706 |      65517 |      63639 |      61975 |       9517 |      68269 |      61360
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.22% |      0.03% |      0.03%
    mpki                             |       0.26 |       0.27 |       0.26 |       0.26 |       0.31 |       0.24 |       0.23 |       0.24 |       0.25 |       0.25 |       0.53 |       0.24 |       0.25
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         63 |         63 |         63 |         63 |         63 |         66 |         63 |         63 |         63 |         61 |         63 |         63
