                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   40121730 |   40088521 |   39991800 |   39858352 |   39727668 |   39602923 |   39522080 |   39486423 |   39479401 |   39484221 |   39510616 |   39422724
  Cycles                             |  159244358 |  159244358 |  159244358 |  159244358 |  159244358 |  159244358 |  159244358 |  159244358 |  159244358 |  159244358 |  159244358 |  159244358
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   59866300 |   59866300 |   59866300 |   59866300 |   59866300 |   59866300 |   59866300 |   59866300 |   59866300 |   59866300 |   59866300 |   59866300
  Idle time (ns)                     |        -46 |         87 |         35 |         -0 |        -46 |         94 |         87 |         47 |         74 |          9 |        121 |         53
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022006 |   10013859 |    9989678 |    9956316 |    9923645 |    9892460 |    9872248 |    9863335 |    9861580 |    9862784 |    9869383 |    9847410
  num incorrect                      |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20015334 |   19999065 |   19950703 |   19883980 |   19818638 |   19756266 |   19715842 |   19698016 |   19694506 |   19696916 |   19710114 |   19666166
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40240 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20015334 |   19999065 |   19950703 |   19883980 |   19818638 |   19756266 |   19715842 |   19698016 |   19694506 |   19696916 |   19710114 |   19666166
    num cache misses                 |     677799 |     672793 |     666721 |     660559 |     655291 |     651241 |     649085 |     647865 |     647412 |     646915 |     644999 |     645203
    miss rate                        |      3.39% |      3.36% |      3.34% |      3.32% |      3.31% |      3.30% |      3.29% |      3.29% |      3.29% |      3.28% |      3.27% |      3.28%
    mpki                             |      16.89 |      16.78 |      16.67 |      16.57 |      16.49 |      16.44 |      16.42 |      16.41 |      16.40 |      16.38 |      16.32 |      16.37
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40240 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       8753 |       8279 |       8827 |       9014 |       8663 |       8605 |       8922 |       8886 |       8822 |       8843 |       7533 |       8497
    miss rate                        |     21.75% |     20.78% |     22.15% |     22.62% |     21.74% |     21.60% |     22.39% |     22.30% |     22.14% |     22.19% |     18.90% |     21.32%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.23 |       0.22 |       0.22 |       0.23 |       0.23 |       0.22 |       0.22 |       0.19 |       0.22
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     686584 |     681103 |     675578 |     669602 |     663983 |     659876 |     658036 |     656780 |     656264 |     655790 |     652564 |     653729
    num cache misses                 |     669954 |     670560 |     668479 |     664902 |     660523 |     657055 |     655062 |     653911 |     653295 |     653053 |     650680 |     650980
    miss rate                        |     97.58% |     98.45% |     98.95% |     99.30% |     99.48% |     99.57% |     99.55% |     99.56% |     99.55% |     99.58% |     99.71% |     99.58%
    mpki                             |      16.70 |      16.73 |      16.72 |      16.68 |      16.63 |      16.59 |      16.57 |      16.56 |      16.55 |      16.54 |      16.47 |      16.51
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     669986 |     670592 |     668510 |     664932 |     660552 |     657087 |     655094 |     653940 |     653325 |     653086 |     650713 |     651011
    num cache misses                 |       2491 |       2415 |       2416 |       2415 |       2416 |       2416 |       2415 |       2415 |       2415 |       2416 |       2414 |       2416
    miss rate                        |      0.37% |      0.36% |      0.36% |      0.36% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      29061 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      94.08 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      40.65 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1171 |       1160 |       1163 |       1163 |       1159 |       1171 |       1166 |       1164 |       1169 |       1166 |       1159 |       1163
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
