                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |     114713 |     121648 |     118281 |     116500 |     115474 |     120699 |     118800 |     113767 |     115474 |     113294 |     120637 |     113414 |     114322 |     112739
  Cycles                             |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334 |    1090334
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900 |     409900
  Idle time (ns)                     |        -28 |        -37 |        -37 |          8 |        146 |        425 |        336 |        -28 |         73 |         75 |       1733 |         19 |          5 |          8
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.1% |       0.1% |      -0.0% |       0.0% |       0.0% |       0.4% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21059 |      22023 |      21507 |      21294 |      21158 |      21926 |      21573 |      20937 |      21158 |      20874 |      21922 |      20891 |      21009 |      20806
  num incorrect                      |       1322 |       1503 |       1346 |       1331 |       1327 |       1427 |       1354 |       1314 |       1327 |       1311 |       1426 |       1312 |       1318 |       1307
  misprediction rate                 |      5.91% |      6.39% |      5.89% |      5.88% |      5.90% |      6.11% |      5.91% |      5.91% |      5.90% |      5.91% |      6.11% |      5.91% |      5.90% |      5.91%
  mpki                               |      11.52 |      12.36 |      11.38 |      11.42 |      11.49 |      11.82 |      11.40 |      11.55 |      11.49 |      11.57 |      11.82 |      11.57 |      11.53 |      11.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14554 |      15330 |      14933 |      14745 |      14639 |      15163 |      14995 |      14453 |      14639 |      14400 |      15153 |      14417 |      14505 |      14354
    num misses                       |         41 |         52 |         42 |         41 |         41 |         48 |         45 |         41 |         41 |         41 |         47 |         41 |         41 |         41
    miss rate                        |      0.28% |      0.34% |      0.28% |      0.28% |      0.28% |      0.32% |      0.30% |      0.28% |      0.28% |      0.28% |      0.31% |      0.28% |      0.28% |      0.29%
    mpki                             |       0.36 |       0.43 |       0.36 |       0.35 |       0.36 |       0.40 |       0.38 |       0.36 |       0.36 |       0.36 |       0.39 |       0.36 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      37904 |      40214 |      39285 |      38580 |      38196 |      39810 |      39493 |      37582 |      38196 |      37389 |      39784 |      37439 |      37747 |      37202
